timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1172354,1200.0,0.68980885,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506709,1200.0,0.68980885,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955855,1200.0,0.61251694,0.0,0.0,4,0,0.0,1,0,0,0,0,0.0,0,0,1,1,0,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2127890,1200.0,1.0,0.0,0.0,12,0,0.0,4,0,0,0,0,0.0,0,0,1,1,0,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2887715,1200.0,1.0,438.3654,0.0,34,0,91.45038,7,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3020346,1200.0,1.0,438.3654,0.0,68,0,91.45038,9,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3772293,1200.0,1.0,3438.4038,0.0,176,0,139.16638,9,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3952583,1200.0,1.0,3438.4038,0.0,194,5,139.16638,10,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4708256,1200.0,0.95013314,3917.1736,205.58925,253,6,20.958126,10,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4952668,1200.0,0.95013314,3917.1736,205.58925,278,10,20.958126,11,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5708871,1200.0,0.8,2588.22,162.32391,287,10,41.825794,12,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6062601,1200.0,0.9409848,2588.22,162.32391,336,10,41.825794,15,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6815064,1200.0,0.8405,3202.2324,0.0,457,11,62.69131,15,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
