timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
7508840,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,94,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
7708414,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,94,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
7909841,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.0,99.99,99.99,94,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8110419,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.2,99.99,99.99,94,9,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8308212,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.2,99.99,99.99,94,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8507736,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,94,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8709617,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,94,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
8910741,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.5,99.99,99.99,94,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9109887,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,94,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9310741,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750006.8,99.99,99.99,94,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9507017,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,94,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9709533,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.0,99.99,99.99,94,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
9910090,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.2,99.99,99.99,94,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10109982,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.2,99.99,99.99,94,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10308415,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.5,99.99,99.99,95,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10508417,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750007.8,99.99,99.99,95,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10706420,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.0,99.99,99.99,95,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
10909209,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.2,99.99,99.99,95,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11110523,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.2,99.99,99.99,95,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11309282,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750008.8,99.99,99.99,94,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11509232,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.0,99.99,99.99,94,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11709319,0,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3750009.2,99.99,99.99,94,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
11915039,0,221473661,-381515236,3017352,3017410,1000.00006,3.1415925,4294967.5,3750009.2,99.99,99.99,94,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12110558,0,216681967,-376424585,2894149,2894340,1000.00006,3.1415925,4294967.5,3750009.5,99.99,99.99,94,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12310148,0,216695343,-376420044,2894485,2894681,1000.00006,3.1415925,4294967.5,3750010.0,99.99,99.99,95,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12512448,0,218510376,-378316544,2940901,2941046,1000.00006,3.1415925,4294967.5,3750010.2,99.99,99.99,95,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12710431,0,225028651,-385235647,3110087,3110101,1000.00006,3.1415925,4294967.5,3750010.8,99.99,99.99,95,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
12914420,0,223317095,-383385766,3065284,3065328,1000.00006,3.1415925,4294967.5,3750010.8,99.99,99.99,95,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13115455,0,224050343,-384150437,3084439,3084476,1000.00006,3.1415925,4294967.5,3750011.0,99.99,99.99,95,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13315420,0,225825670,-386033690,3131025,3131042,1000.00006,3.1415925,4294967.5,3750011.2,99.99,99.99,95,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13514414,0,226639220,-386888802,3152466,3152478,1000.00006,3.1415925,4294967.5,3750011.5,99.99,99.99,95,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13714458,0,224852033,-384951737,3105430,3105468,1000.00006,3.1415925,4294967.5,3750012.2,99.99,99.99,95,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
13914417,0,221089797,-380919139,3007359,3007471,1000.00006,3.1415925,4294967.5,3750012.8,99.99,99.99,95,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14111727,0,221103155,-380914545,3007701,3007817,1000.00006,3.1415925,4294967.5,3750012.8,99.99,99.99,95,5,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14314553,0,219803313,-379516513,2974112,2974264,1000.00006,3.1415925,4294967.5,3750013.0,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14511419,0,221847311,-381668256,3026988,3027097,1000.00006,3.1415925,4294967.5,3750013.5,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14714586,0,240599145,-402020092,3529603,3529603,1000.00006,3.1415925,4294967.5,3750014.2,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
14914055,0,223838264,-383753670,3078852,3078933,1000.00006,3.1415925,4294967.5,3750014.8,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15110427,0,223087659,-382933352,3059249,3059347,1000.00006,3.1415925,4294967.5,3750015.0,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15309740,0,232378207,-392926405,3305374,3305405,1000.00006,3.1415925,4294967.5,3750015.5,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15512740,0,228518227,-388722878,3202177,3202219,1000.00006,3.1415925,4294967.5,3750016.0,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15711398,0,253751174,-416748823,3901311,3900444,1000.00006,3.1415925,4294967.5,3750016.5,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
15915470,0,253764388,-416743885,3901686,3900824,1000.00006,3.1415925,4294967.5,3750017.0,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16114642,0,255439786,-418647507,3950120,3949108,1000.00006,3.1415925,4294967.5,3750017.5,99.99,99.99,101,6,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16315004,0,251864733,-414532502,3847043,3846356,1000.00006,3.1415925,4294967.5,3750017.8,99.99,99.99,102,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16515420,0,231400691,-391748268,3279091,3279146,1000.00006,3.1415925,4294967.5,3750018.5,99.99,99.99,102,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16712414,0,234309598,-394898772,3357468,3357538,1000.00006,3.1415925,4294967.5,3750019.0,99.99,99.99,102,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
16912433,0,230581981,-390821579,3257155,3257220,1000.00006,3.1415925,4294967.5,3750019.5,99.99,99.99,102,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17113967,0,228624825,-388685426,3204974,3205050,1000.00006,3.1415925,4294967.5,3750020.0,99.99,99.99,102,10,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17311420,0,230608613,-390812170,3257859,3257932,1000.00006,3.1415925,4294967.5,3750020.5,99.99,99.99,102,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17514469,0,226609684,-386477219,3151597,3151699,1000.00006,3.1415925,4294967.5,3750021.0,99.99,99.99,102,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17715417,0,231718771,-391978767,3287599,3287681,1000.00006,3.1415925,4294967.5,3750021.5,99.99,99.99,102,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
17909128,0,231718771,-391978767,3287599,3287681,1000.00006,3.1415925,4294967.5,3750022.0,99.99,99.99,102,11,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0,0,0,0,0
