timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
1546731,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0011304523,2.0357196e-05,2.3294802e-09,0.7325646,0.20228395,-9.73631,-0.010543082,0.0028645042,0.007685111,25.587519,25.587519
1651663,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0009721125,2.0078172e-05,2.084405e-09,0.6904978,0.22857063,-9.743706,-0.011586682,0.0017243661,-0.0024585794,25.587519,25.587519
1751855,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0008935664,1.9473686e-05,1.8655038e-09,0.7590642,0.1959875,-9.739516,-0.010768259,0.0020954944,-0.0028905908,25.587523,25.587523
1856647,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.00079241674,1.974065e-05,1.7463241e-09,0.72287005,0.21799424,-9.748409,-0.010730031,0.0019095223,-0.00083975634,25.587519,25.587519
1956669,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0007111273,2.0882924e-05,1.7054317e-09,0.7246819,0.23909588,-9.7404995,-0.011220496,0.0022670515,-2.2643246e-05,25.587523,25.587523
2061632,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0006706898,2.0661435e-05,1.5513663e-09,0.72376347,0.21947518,-9.744049,-0.011481476,0.0021148622,-0.000103636645,25.501854,25.501854
2166612,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0005709739,1.9675383e-05,1.4238436e-09,0.7241927,0.20767327,-9.747363,-0.011497275,0.0019672234,-0.0006793365,25.44065,25.44065
2267134,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.00055067113,1.8911336e-05,1.3214825e-09,0.71316445,0.21274348,-9.746109,-0.010554262,0.002073748,-0.00046250783,25.440649,25.440649
2371954,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.0004797982,1.8063007e-05,1.2272964e-09,0.7342667,0.21078831,-9.7434635,-0.011035027,0.0023958664,0.00018936396,25.44065,25.44065
2476610,3932170,3932170,0,0,0,0,0,801.23535,801.23535,4006.1777,8012.3555,0.00041785263,1.737561e-05,1.1442715e-09,0.7262017,0.22009367,-9.743636,-0.011248714,0.0024859123,0.00047470164,25.44065,25.44065
