timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
757669,0,0,1,0,0,0,0,0
1258945,0,0,1,0,0,0,0,0
1759819,0,0,1,0,0,0,0,0
1938471,0,0,1,0,0,0,0,0
2446492,0,0,1,0,0,0,0,0
2950642,0,0,1,0,0,0,0,0
3455167,0,0,1,0,0,0,0,0
3964063,0,0,1,0,0,0,0,0
4471539,0,0,1,0,0,0,0,0
4978479,0,0,1,0,0,0,0,0
5485829,0,0,1,0,0,0,0,0
5995925,0,0,1,0,0,0,0,0
6496487,0,0,1,0,0,0,0,0
7006537,0,0,1,0,0,0,0,0
7517519,0,0,1,0,0,0,0,0
8027486,0,0,1,0,0,0,0,0
8530935,0,0,1,0,0,0,0,0
9031463,0,0,1,0,0,0,0,0
9541533,0,0,1,0,0,0,0,0
10050696,0,0,1,0,0,0,0,0
10556488,0,0,1,0,0,0,0,0
11066858,0,0,1,0,0,0,0,0
11567547,0,0,1,0,0,0,0,0
12070631,0,0,1,0,0,0,0,0
12574488,0,0,1,0,0,0,0,0
13084136,0,0,1,0,0,0,0,0
13591768,0,0,1,0,0,0,0,0
14100987,0,0,1,0,0,0,0,0
14612590,0,0,1,0,0,0,0,0
15119770,0,0,1,0,0,0,0,0
15626582,0,0,1,0,0,0,0,0
16137740,0,0,1,0,0,0,0,0
16647628,0,0,1,0,0,0,0,0
17148021,0,0,1,0,0,0,0,0
17654544,0,0,1,0,0,0,0,0
18164488,0,0,1,0,0,0,0,0
18673689,0,0,1,0,0,0,0,0
19183105,0,0,1,0,0,0,0,0
19693489,0,0,1,0,0,0,0,0
20195618,0,0,1,0,0,0,0,0
20698551,0,0,1,0,0,0,0,0
21206507,0,0,1,0,0,0,0,0
21713523,0,0,1,0,0,0,0,0
22220784,0,0,1,0,0,0,0,0
22722587,0,0,1,0,0,0,0,0
23234909,0,0,1,0,0,0,0,0
23738626,0,0,1,0,0,0,0,0
24246513,0,0,1,0,0,0,0,0
24755799,0,0,1,0,0,0,0,0
25259600,0,0,1,0,0,0,0,0
25768431,0,0,1,0,0,0,0,0
26268695,0,0,1,0,0,0,0,0
26775530,0,0,1,0,0,0,0,0
27286512,0,0,1,0,0,0,0,0
27796488,0,0,1,0,0,0,0,0
28297556,0,0,1,0,0,0,0,0
28803339,0,0,1,0,0,0,0,0
29303488,0,0,1,0,0,0,0,0
29804487,0,0,1,0,0,0,0,0
30314660,0,0,1,0,0,0,0,0
30819047,0,0,1,0,0,0,0,0
31323550,0,0,1,0,0,0,0,0
31834496,0,0,1,0,0,0,0,0
32334508,0,0,1,0,0,0,0,0
32845327,0,0,1,0,0,0,0,0
33352848,0,0,1,0,0,0,0,0
33856776,0,0,1,0,0,0,0,0
34367605,0,0,1,0,0,0,0,0
34873894,0,0,1,0,0,0,0,0
35381664,0,0,1,0,0,0,0,0
35887527,0,0,1,0,0,0,0,0
36388111,0,0,1,0,0,0,0,0
36891604,0,0,1,0,0,0,0,0
37403718,0,0,1,0,0,0,0,0
37910747,0,0,1,0,0,0,0,0
38411155,0,0,1,0,0,0,0,0
38911484,0,0,1,0,0,0,0,0
39420695,0,0,1,0,0,0,0,0
39923526,0,0,1,0,0,0,0,0
40426486,0,0,1,0,0,0,0,0
40929489,0,0,1,0,0,0,0,0
41438061,0,0,1,0,0,0,0,0
41947011,0,0,1,0,0,0,0,0
42453723,0,0,1,0,0,0,0,0
42961524,0,0,1,0,0,0,0,0
43462524,0,0,1,0,0,0,0,0
43971706,0,0,1,0,0,0,0,0
44472609,0,0,1,0,0,0,0,0
44982682,0,0,1,0,0,0,0,0
45493610,0,0,1,0,0,0,0,0
46003486,0,0,1,0,0,0,0,0
46514076,0,0,1,0,0,0,0,0
47014519,0,0,1,0,0,0,0,0
47514540,0,0,1,0,0,0,0,0
48020713,0,0,1,0,0,0,0,0
48522164,0,0,1,0,0,0,0,0
49028548,0,0,1,0,0,0,0,0
49531517,0,0,1,0,0,0,0,0
50035994,0,0,1,0,0,0,0,0
50539490,0,0,1,0,0,0,0,0
51048609,0,0,1,0,0,0,0,0
51558556,0,0,1,0,0,0,0,0
52069728,0,0,1,0,0,0,0,0
52580982,0,0,1,0,0,0,0,0
53587551,0,0,1,0,0,0,0,0
54092557,0,0,1,0,0,0,0,0
54595031,0,0,1,0,0,0,0,0
55100674,0,0,1,0,0,0,0,0
55608044,0,0,1,0,0,0,0,0
56110610,0,0,1,0,0,0,0,0
56620818,0,0,1,0,0,0,0,0
57126488,0,0,1,0,0,0,0,0
57633511,0,0,1,0,0,0,0,0
58146017,0,0,1,0,0,0,0,0
58652579,0,0,1,0,0,0,0,0
59163503,0,0,1,0,0,0,0,0
59665885,0,0,1,0,0,0,0,0
60166084,0,0,1,0,0,0,0,0
60673625,0,0,1,0,0,0,0,0
61177607,0,0,1,0,0,0,0,0
61677730,0,0,1,0,0,0,0,0
62181489,0,0,1,0,0,0,0,0
62690855,0,0,1,0,0,0,0,0
63191042,0,0,1,0,0,0,0,0
63696125,0,0,1,0,0,0,0,0
64198627,0,0,1,0,0,0,0,0
64707582,0,0,1,0,0,0,0,0
65208894,0,0,1,0,0,0,0,0
65711548,0,0,1,0,0,0,0,0
66212156,0,0,1,0,0,0,0,0
66719845,0,0,1,0,0,0,0,0
67228517,0,0,1,0,0,0,0,0
67742078,0,0,1,0,0,0,0,0
68249445,0,0,1,0,0,0,0,0
68752207,0,0,1,0,0,0,0,0
69252553,0,0,1,0,0,0,0,0
69762488,0,0,1,0,0,0,0,0
70272486,0,0,1,0,0,0,0,0
70774840,0,0,1,0,0,0,0,0
71275629,0,0,1,0,0,0,0,0
71776001,0,0,1,0,0,0,0,0
72278686,0,0,1,0,0,0,0,0
72780768,0,0,1,0,0,0,0,0
73290679,0,0,1,0,0,0,0,0
73799720,0,0,1,0,0,0,0,0
74310024,0,0,1,0,0,0,0,0
74821146,0,0,1,0,0,0,0,0
75200930,0,0,1,0,0,0,0,0
75702851,0,0,1,0,0,0,0,0
76204616,0,0,1,0,0,0,0,0
76706507,0,0,1,0,0,0,0,0
77207166,0,0,1,0,0,0,0,0
77710706,0,0,1,0,0,0,0,0
78215708,0,0,1,0,0,0,0,0
78720646,0,0,1,0,0,0,0,0
79227079,0,0,1,0,0,0,0,0
79728511,0,0,1,0,0,0,0,0
80238591,0,0,1,0,0,0,0,0
80748846,0,0,1,0,0,0,0,0
81251447,0,0,1,0,0,0,0,0
81751482,0,0,1,0,0,0,0,0
82253358,0,0,1,0,0,0,0,0
82761520,0,0,1,0,0,0,0,0
83264318,0,0,1,0,0,0,0,0
83770755,0,0,1,0,0,0,0,0
84273860,0,0,1,0,0,0,0,0
84780873,0,0,1,0,0,0,0,0
85285702,0,0,1,0,0,0,0,0
85791013,0,0,1,0,0,0,0,0
86301523,0,0,1,0,0,0,0,0
86803027,0,0,1,0,0,0,0,0
87303532,0,0,1,0,0,0,0,0
87808510,0,0,1,0,0,0,0,0
88314521,0,0,1,0,0,0,0,0
88816096,0,0,1,0,0,0,0,0
89322780,0,0,1,0,0,0,0,0
89826569,0,0,1,0,0,0,0,0
90334725,0,0,1,0,0,0,0,0
90844715,0,0,1,0,0,0,0,0
91349616,0,0,1,0,0,0,0,0
91857622,0,0,1,0,0,0,0,0
92364312,0,0,1,0,0,0,0,0
92870755,0,0,1,0,0,0,0,0
93374916,0,0,1,0,0,0,0,0
93875814,0,0,1,0,0,0,0,0
94382682,0,0,1,0,0,0,0,0
94888338,0,0,1,0,0,0,0,0
95397454,0,0,1,0,0,0,0,0
95909446,0,0,1,0,0,0,0,0
96418523,0,0,1,0,0,0,0,0
96918949,0,0,1,0,0,0,0,0
97428504,0,0,1,0,0,0,0,0
97936523,0,0,1,0,0,0,0,0
98443870,0,0,1,0,0,0,0,0
98946030,0,0,1,0,0,0,0,0
99455502,0,0,1,0,0,0,0,0
99961328,0,0,1,0,0,0,0,0
100469981,0,0,1,0,0,0,0,0
100970717,0,0,1,0,0,0,0,0
101479192,0,0,1,0,0,0,0,0
101980731,0,0,1,0,0,0,0,0
102485489,0,0,1,0,0,0,0,0
102994842,0,0,1,0,0,0,0,0
103501488,0,0,1,0,0,0,0,0
104002212,0,0,1,0,0,0,0,0
104511342,0,0,1,0,0,0,0,0
105016728,0,0,1,0,0,0,0,0
105523778,0,0,1,0,0,0,0,0
106027311,0,0,1,0,0,0,0,0
106539087,0,0,1,0,0,0,0,0
107047236,0,0,1,0,0,0,0,0
107552633,0,0,1,0,0,0,0,0
108062377,0,0,1,0,0,0,0,0
108562574,0,0,1,0,0,0,0,0
109069938,0,0,1,0,0,0,0,0
109570628,0,0,1,0,0,0,0,0
110080585,0,0,1,0,0,0,0,0
110580659,0,0,1,0,0,0,0,0
111084196,0,0,1,0,0,0,0,0
111586992,0,0,1,0,0,0,0,0
112090923,0,0,1,0,0,0,0,0
112602442,0,0,1,0,0,0,0,0
