timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
757469,0,0,1,0,0,1,1,0,0,0,0,0,0
1258937,0,0,1,0,0,1,1,0,0,0,0,0,0
1759809,0,0,1,0,0,1,1,0,0,0,0,0,0
1938461,0,0,1,0,0,1,1,0,0,0,0,0,0
2446482,0,0,1,0,0,1,1,0,0,0,0,0,0
2950628,0,0,1,0,0,1,1,0,0,0,0,0,0
3455157,0,0,1,0,0,1,1,0,0,0,0,0,0
3964053,0,0,1,0,0,1,1,0,0,0,0,0,0
4471498,0,0,1,0,0,1,1,0,0,0,0,0,0
4978469,0,0,1,0,0,1,1,0,0,0,0,0,0
5485820,0,0,1,0,0,1,1,0,0,0,0,0,0
5995915,0,0,1,0,0,1,1,0,0,0,0,0,0
6496478,0,0,1,0,0,1,1,0,0,0,0,0,0
7006527,0,0,1,0,0,1,1,0,0,0,0,0,0
7517509,0,0,1,0,0,1,1,0,0,0,0,0,0
8027476,0,0,1,0,0,1,1,0,0,0,0,0,0
8530926,0,0,1,0,0,1,1,0,0,0,0,0,0
9031453,0,0,1,0,0,1,1,0,0,0,0,0,0
9541523,0,0,1,0,0,1,1,0,0,0,0,0,0
10050686,0,0,1,0,0,1,1,0,0,0,0,0,0
11066848,0,0,1,0,0,1,1,0,0,0,0,0,0
11567538,0,0,1,0,0,1,1,0,0,0,0,0,0
12070621,0,0,1,0,0,1,1,0,0,0,0,0,0
12574477,0,0,1,0,0,1,1,0,0,0,0,0,0
13084127,0,0,1,0,0,1,1,0,0,0,0,0,0
13591761,0,0,1,0,0,1,1,0,0,0,0,0,0
14100978,0,0,1,0,0,1,1,0,0,0,0,0,0
14612581,0,0,1,0,0,1,1,0,0,0,0,0,0
15119762,0,0,1,0,0,1,1,0,0,0,0,0,0
15626573,0,0,1,0,0,1,1,0,0,0,0,0,0
16137730,0,0,1,0,0,1,1,0,0,0,0,0,0
16647618,0,0,1,0,0,1,1,0,0,0,0,0,0
17148012,0,0,1,0,0,1,1,0,0,0,0,0,0
17654535,0,0,1,0,0,1,1,0,0,0,0,0,0
18164477,0,0,1,0,0,1,1,0,0,0,0,0,0
18673680,0,0,1,0,0,1,1,0,0,0,0,0,0
19183096,0,0,1,0,0,1,1,0,0,0,0,0,0
19693479,0,0,1,0,0,1,1,0,0,0,0,0,0
20195608,0,0,1,0,0,1,1,0,0,0,0,0,0
20698542,0,0,1,0,0,1,1,0,0,0,0,0,0
21206497,0,0,1,0,0,1,1,0,0,0,0,0,0
21713513,0,0,1,0,0,1,1,0,0,0,0,0,0
22220774,0,0,1,0,0,1,1,0,0,0,0,0,0
22722546,0,0,1,0,0,1,1,0,0,0,0,0,0
23234899,0,0,1,0,0,1,1,0,0,0,0,0,0
23738616,0,0,1,0,0,1,1,0,0,0,0,0,0
24246503,0,0,1,0,0,1,1,0,0,0,0,0,0
24755789,0,0,1,0,0,1,1,0,0,0,0,0,0
25259590,0,0,1,0,0,1,1,0,0,0,0,0,0
25768423,0,0,1,0,0,1,1,0,0,0,0,0,0
26268684,0,0,1,0,0,1,1,0,0,0,0,0,0
26775520,0,0,1,0,0,1,1,0,0,0,0,0,0
27286502,0,0,1,0,0,1,1,0,0,0,0,0,0
27796479,0,0,1,0,0,1,1,0,0,0,0,0,0
28297547,0,0,1,0,0,1,1,0,0,0,0,0,0
28803330,0,0,1,0,0,1,1,0,0,0,0,0,0
29303478,0,0,1,0,0,1,1,0,0,0,0,0,0
29804478,0,0,1,0,0,1,1,0,0,0,0,0,0
30314651,0,0,1,0,0,1,1,0,0,0,0,0,0
30819038,0,0,1,0,0,1,1,0,0,0,0,0,0
31323540,0,0,1,0,0,1,1,0,0,0,0,0,0
31834486,0,0,1,0,0,1,1,0,0,0,0,0,0
32334498,0,0,1,0,0,1,1,0,0,0,0,0,0
32845319,0,0,1,0,0,1,1,0,0,0,0,0,0
33352839,0,0,1,0,0,1,1,0,0,0,0,0,0
33856766,0,0,1,0,0,1,1,0,0,0,0,0,0
34367595,0,0,1,0,0,1,1,0,0,0,0,0,0
34873884,0,0,1,0,0,1,1,0,0,0,0,0,0
35381654,0,0,1,0,0,1,1,0,0,0,0,0,0
35887517,0,0,1,0,0,1,1,0,0,0,0,0,0
36388098,0,0,1,0,0,1,1,0,0,0,0,0,0
36891592,0,0,1,0,0,1,1,0,0,0,0,0,0
37403709,0,0,1,0,0,1,1,0,0,0,0,0,0
37910737,0,0,1,0,0,1,1,0,0,0,0,0,0
38411145,0,0,1,0,0,1,1,0,0,0,0,0,0
38911475,0,0,1,0,0,1,1,0,0,0,0,0,0
39420686,0,0,1,0,0,1,1,0,0,0,0,0,0
39923518,0,0,1,0,0,1,1,0,0,0,0,0,0
40426475,0,0,1,0,0,1,1,0,0,0,0,0,0
40929478,0,0,1,0,0,1,1,0,0,0,0,0,0
41438051,0,0,1,0,0,1,1,0,0,0,0,0,0
41947003,0,0,1,0,0,1,1,0,0,0,0,0,0
42453713,0,0,1,0,0,1,1,0,0,0,0,0,0
42961515,0,0,1,0,0,1,1,0,0,0,0,0,0
43462479,0,0,1,0,0,1,1,0,0,0,0,0,0
43971698,0,0,1,0,0,1,1,0,0,0,0,0,0
44472599,0,0,1,0,0,1,1,0,0,0,0,0,0
44982671,0,0,1,0,0,1,1,0,0,0,0,0,0
45493601,0,0,1,0,0,1,1,0,0,0,0,0,0
46003477,0,0,1,0,0,1,1,0,0,0,0,0,0
46514067,0,0,1,0,0,1,1,0,0,0,0,0,0
47014509,0,0,1,0,0,1,1,0,0,0,0,0,0
47514530,0,0,1,0,0,1,1,0,0,0,0,0,0
48020704,0,0,1,0,0,1,1,0,0,0,0,0,0
48522154,0,0,1,0,0,1,1,0,0,0,0,0,0
49028538,0,0,1,0,0,1,1,0,0,0,0,0,0
49531474,0,0,1,0,0,1,1,0,0,0,0,0,0
50035985,0,0,1,0,0,1,1,0,0,0,0,0,0
50539480,0,0,1,0,0,1,1,0,0,0,0,0,0
51048600,0,0,1,0,0,1,1,0,0,0,0,0,0
51558548,0,0,1,0,0,1,1,0,0,0,0,0,0
52069718,0,0,1,0,0,1,1,0,0,0,0,0,0
52580947,0,0,1,0,0,1,1,0,0,0,0,0,0
53587541,0,0,1,0,0,1,1,0,0,0,0,0,0
54092547,0,0,1,0,0,1,1,0,0,0,0,0,0
54595024,0,0,1,0,0,1,1,0,0,0,0,0,0
55100664,0,0,1,0,0,1,1,0,0,0,0,0,0
55608034,0,0,1,0,0,1,1,0,0,0,0,0,0
56110601,0,0,1,0,0,1,1,0,0,0,0,0,0
56620808,0,0,1,0,0,1,1,0,0,0,0,0,0
57126478,0,0,1,0,0,1,1,0,0,0,0,0,0
57633501,0,0,1,0,0,1,1,0,0,0,0,0,0
58146007,0,0,1,0,0,1,1,0,0,0,0,0,0
58652569,0,0,1,0,0,1,1,0,0,0,0,0,0
59163494,0,0,1,0,0,1,1,0,0,0,0,0,0
59665876,0,0,1,0,0,1,1,0,0,0,0,0,0
60166075,0,0,1,0,0,1,1,0,0,0,0,0,0
60673615,0,0,1,0,0,1,1,0,0,0,0,0,0
61177597,0,0,1,0,0,1,1,0,0,0,0,0,0
61677720,0,0,1,0,0,1,1,0,0,0,0,0,0
62181479,0,0,1,0,0,1,1,0,0,0,0,0,0
62690845,0,0,1,0,0,1,1,0,0,0,0,0,0
63191032,0,0,1,0,0,1,1,0,0,0,0,0,0
63696115,0,0,1,0,0,1,1,0,0,0,0,0,0
64198618,0,0,1,0,0,1,1,0,0,0,0,0,0
64707573,0,0,1,0,0,1,1,0,0,0,0,0,0
65208885,0,0,1,0,0,1,1,0,0,0,0,0,0
65711539,0,0,1,0,0,1,1,0,0,0,0,0,0
66212144,0,0,1,0,0,1,1,0,0,0,0,0,0
66719838,0,0,1,0,0,1,1,0,0,0,0,0,0
67228503,0,0,1,0,0,1,1,0,0,0,0,0,0
67742069,0,0,1,0,0,1,1,0,0,0,0,0,0
68249435,0,0,1,0,0,1,1,0,0,0,0,0,0
68752196,0,0,1,0,0,1,1,0,0,0,0,0,0
69252544,0,0,1,0,0,1,1,0,0,0,0,0,0
69762478,0,0,1,0,0,1,1,0,0,0,0,0,0
70272479,0,0,1,0,0,1,1,0,0,0,0,0,0
70774830,0,0,1,0,0,1,1,0,0,0,0,0,0
71275620,0,0,1,0,0,1,1,0,0,0,0,0,0
71775992,0,0,1,0,0,1,1,0,0,0,0,0,0
72277476,0,0,1,0,0,1,1,0,0,0,0,0,0
72780759,0,0,1,0,0,1,1,0,0,0,0,0,0
73290669,0,0,1,0,0,1,1,0,0,0,0,0,0
73799709,0,0,1,0,0,1,1,0,0,0,0,0,0
74310016,0,0,1,0,0,1,1,0,0,0,0,0,0
74821137,0,0,1,0,0,1,1,0,0,0,0,0,0
75200921,0,0,0,1,0,1,1,0,1,1,1,1,0
75702841,0,0,0,1,0,1,1,0,1,1,1,1,0
76204606,0,0,0,1,0,1,1,0,1,1,1,1,0
76706498,0,0,0,1,0,1,1,0,1,1,1,1,0
77207122,0,0,0,1,0,1,1,0,1,1,1,1,0
77710696,0,0,0,1,0,1,1,0,1,1,1,1,0
78215698,0,0,0,1,0,1,1,0,1,1,1,1,0
78720630,0,0,0,1,0,1,1,0,1,1,1,1,0
79227069,0,0,0,1,0,1,1,0,1,1,1,1,0
79728501,0,0,0,1,0,1,1,0,1,1,1,1,0
80238580,0,0,0,1,0,1,1,0,1,1,1,1,0
80748836,0,0,0,1,0,1,1,0,1,1,1,1,0
81251395,0,0,0,1,0,1,1,0,1,1,1,1,0
81751472,0,0,0,1,0,1,1,0,1,1,1,1,0
82253349,0,0,0,1,0,1,1,0,1,1,1,1,0
82761510,0,0,0,1,0,1,1,0,1,1,1,1,0
83264310,0,0,0,1,0,1,1,0,1,1,1,1,0
83770746,0,0,0,1,0,1,1,0,1,1,1,1,0
84273849,0,0,0,1,0,1,1,0,1,1,1,1,0
84780863,0,0,0,1,0,1,1,0,1,1,1,1,0
85285693,0,0,0,1,0,1,1,0,1,1,1,1,0
85791003,0,0,0,1,0,1,1,0,1,1,1,1,0
86301511,0,0,0,1,0,1,1,0,1,1,1,1,0
86803012,0,0,0,1,0,1,1,0,1,1,1,1,0
87303522,0,0,0,1,0,1,1,0,1,1,1,1,0
87808500,0,0,0,1,0,1,1,0,1,1,1,1,0
88314511,0,0,0,1,0,1,1,0,1,1,1,1,0
88816086,0,0,0,1,0,1,1,0,1,1,1,1,0
89322770,0,0,0,1,0,1,1,0,1,1,1,1,0
89826560,0,0,0,1,0,1,1,0,1,1,1,1,0
90334715,0,0,0,1,0,1,1,0,1,1,1,1,0
90844705,0,0,0,1,0,1,1,0,1,1,1,1,0
91349608,0,0,0,1,0,1,1,0,1,1,1,1,0
91857612,0,0,0,1,0,1,1,0,1,1,1,1,0
92364206,0,0,0,1,0,1,1,0,1,1,1,1,0
92870746,0,0,0,1,0,1,1,0,1,1,1,1,0
93374907,0,0,0,1,0,1,1,0,1,1,1,1,0
93875804,0,0,0,1,0,1,1,0,1,1,1,1,0
94382672,0,0,0,1,0,1,1,0,1,1,1,1,0
94888327,0,0,0,1,0,1,1,0,1,1,1,1,0
95397425,0,0,0,1,0,1,1,0,1,1,1,1,0
95909434,0,0,0,1,0,1,1,0,1,1,1,1,0
96418514,0,0,0,1,0,1,1,0,1,1,1,1,0
96918939,0,0,0,1,0,1,1,0,1,1,1,1,0
97428494,0,0,0,1,0,1,1,0,1,1,1,1,0
97936514,0,0,0,1,0,1,1,0,1,1,1,1,0
98443860,0,0,0,1,0,1,1,0,1,1,1,1,0
98946020,0,0,0,1,0,1,1,0,1,1,1,1,0
99455492,0,0,0,1,0,1,1,0,1,1,1,1,0
99961319,0,0,0,1,0,1,1,0,1,1,1,1,0
100469966,0,0,0,1,0,1,1,0,1,1,1,1,0
100970708,0,0,0,1,0,1,1,0,1,1,1,1,0
101479182,0,0,0,1,0,1,1,0,1,1,1,1,0
101980722,0,0,0,1,0,1,1,0,1,1,1,1,0
102485479,0,0,0,1,0,1,1,0,1,1,1,1,0
102994832,0,0,0,1,0,1,1,0,1,1,1,1,0
103501477,0,0,0,1,0,1,1,0,1,1,1,1,0
104001590,0,0,0,1,0,1,1,0,1,1,1,1,0
104511333,0,0,0,1,0,1,1,0,1,1,1,1,0
105016719,0,0,0,1,0,1,1,0,1,1,1,1,0
105523768,0,0,0,1,0,1,1,0,1,1,1,1,0
106027301,0,0,0,1,0,1,1,0,1,1,1,1,0
106539078,0,0,0,1,0,1,1,0,1,1,1,1,0
107047228,0,0,0,1,0,1,1,0,1,1,1,1,0
107552623,0,0,0,1,0,1,1,0,1,1,1,1,0
108062364,0,0,0,1,0,1,1,0,1,1,1,1,0
108562562,0,0,0,1,0,1,1,0,1,1,1,1,0
109069928,0,0,0,1,0,1,1,0,1,1,1,1,0
109570618,0,0,0,1,0,1,1,0,1,1,1,1,0
110080575,0,0,0,1,0,1,1,0,1,1,1,1,0
110580649,0,0,0,1,0,1,1,0,1,1,1,1,0
111084186,0,0,0,1,0,1,1,0,1,1,1,1,0
111586983,0,0,0,1,0,1,1,0,1,1,1,1,0
112090911,0,0,0,1,0,1,1,0,1,1,1,1,0
112602434,0,0,0,1,0,1,1,0,1,1,1,1,0
113103334,0,0,0,1,0,1,1,0,1,1,1,1,0
113613587,0,0,0,1,0,1,1,0,1,1,1,1,0
114121310,0,0,0,1,0,1,1,0,1,1,1,1,0
114632034,0,0,0,1,0,1,1,0,1,1,1,1,0
115135419,0,0,0,1,0,1,1,0,1,1,1,1,0
115639103,0,0,0,1,0,1,1,0,1,1,1,1,0
116151454,0,0,0,1,0,1,1,0,1,1,1,1,0
116661777,0,0,0,1,0,1,1,0,1,1,1,1,0
117167775,0,0,0,1,0,1,1,0,1,1,1,1,0
117677184,0,0,0,1,0,1,1,0,1,1,1,1,0
118182736,0,0,0,1,0,1,1,0,1,1,1,1,0
118688480,0,0,0,1,0,1,1,0,1,1,1,1,0
119192897,0,0,0,1,0,1,1,0,1,1,1,1,0
119704308,0,0,0,1,0,1,1,0,1,1,1,1,0
120211335,0,0,0,1,0,1,1,0,1,1,1,1,0
120715474,0,0,0,1,0,1,1,0,1,1,1,1,0
121217080,0,0,0,1,0,1,1,0,1,1,1,1,0
121726505,0,0,0,1,0,1,1,0,1,1,1,1,0
122237513,0,0,0,1,0,1,1,0,1,1,1,1,0
122744774,0,0,0,1,0,1,1,0,1,1,1,1,0
123253011,0,0,0,1,0,1,1,0,1,1,1,1,0
123763051,0,0,0,1,0,1,1,0,1,1,1,1,0
124263184,0,0,0,1,0,1,1,0,1,1,1,1,0
124766954,0,0,0,1,0,1,1,0,1,1,1,1,0
125278137,0,0,0,1,0,1,1,0,1,1,1,1,0
125787760,0,0,0,1,0,1,1,0,1,1,1,1,0
126296693,0,0,0,1,0,1,1,0,1,1,1,1,0
126796738,0,0,0,1,0,1,1,0,1,1,1,1,0
127303499,0,0,0,1,0,1,1,0,1,1,1,1,0
127808508,0,0,0,1,0,1,1,0,1,1,1,1,0
128319033,0,0,0,1,0,1,1,0,1,1,1,1,0
128830239,0,0,0,1,0,1,1,0,1,1,1,1,0
129332689,0,0,0,1,0,1,1,0,1,1,1,1,0
129833879,0,0,0,1,0,1,1,0,1,1,1,1,0
130343306,0,0,0,1,0,1,1,0,1,1,1,1,0
130849195,0,0,0,1,0,1,1,0,1,1,1,1,0
131355098,0,0,0,1,0,1,1,0,1,1,1,1,0
131862409,0,0,0,1,0,1,1,0,1,1,1,1,0
132365654,0,0,0,1,0,1,1,0,1,1,1,1,0
132872908,0,0,0,1,0,1,1,0,1,1,1,1,0
133374701,0,0,0,1,0,1,1,0,1,1,1,1,0
