Time (ms),humidity (%),temperature (C*)
2458,61.00,21.30,
2511,61.00,21.30,
2593,61.00,21.30,
2676,61.00,21.30,
2758,61.00,21.30,
2840,61.00,21.30,
2922,61.00,21.30,
3005,61.00,21.30,
3087,61.00,21.30,
3169,61.00,21.30,
3251,61.00,21.30,
3334,61.00,21.30,
3416,61.00,21.30,
3497,61.00,21.30,
3579,61.00,21.30,
3661,61.00,21.30,
3744,61.00,21.30,
3826,61.00,21.30,
3908,61.00,21.30,
3990,61.00,21.30,
4073,61.00,21.30,
4155,61.00,21.30,
4237,61.00,21.30,
4319,61.00,21.30,
4402,61.00,21.30,
4484,61.00,21.10,
4566,61.00,21.10,
4647,61.00,21.10,
4729,61.00,21.10,
4811,61.00,21.10,
4894,61.00,21.10,
4976,61.00,21.10,
5058,61.00,21.10,
5140,61.00,21.10,
5223,61.00,21.10,
5305,61.00,21.10,
5387,61.00,21.10,
5469,61.00,21.10,
5552,61.00,21.10,
5634,61.00,21.10,
5715,61.00,21.10,
5797,61.00,21.10,
5880,61.00,21.10,
5962,61.00,21.10,
6044,61.00,21.10,
6126,61.00,21.10,
6208,61.00,21.10,
6291,61.00,21.10,
6373,61.00,21.10,
6455,61.00,21.10,
6537,61.00,21.10,
6619,61.00,21.10,
6702,61.00,21.10,
6784,61.00,21.10,
6865,61.00,21.10,
6947,61.00,21.10,
7030,61.00,21.10,
7112,61.00,21.10,
7194,61.00,21.10,
7276,61.00,21.10,
7358,61.00,21.10,
7441,61.00,21.10,
7523,61.00,21.10,
7605,61.00,21.10,
7687,61.00,21.10,
7770,61.00,21.10,
7852,61.00,21.10,
7933,61.00,21.10,
8015,61.00,21.10,
8098,61.00,21.10,
8180,61.00,21.10,
8262,61.00,21.10,
8344,61.00,21.10,
8427,61.00,21.10,
8509,61.00,21.10,
8591,61.00,21.50,
8674,61.00,21.50,
8756,61.00,21.50,
8839,61.00,21.50,
8921,61.00,21.50,
9003,61.00,21.50,
9084,61.00,21.50,
9166,61.00,21.50,
9249,61.00,21.50,
9331,61.00,21.50,
9413,61.00,21.50,
9495,61.00,21.50,
9578,61.00,21.50,
9660,61.00,21.50,
9742,61.00,21.50,
9824,61.00,21.50,
9907,61.00,21.50,
9989,61.00,21.50,
10071,61.00,21.50,
10153,61.00,21.50,
10237,61.00,21.50,
10320,61.00,21.50,
10403,61.00,21.50,
10486,61.00,21.50,
10570,61.00,21.50,
10653,61.00,21.30,
10736,61.00,21.30,
10819,61.00,21.30,
10902,61.00,21.30,
10986,61.00,21.30,
11069,61.00,21.30,
11152,61.00,21.30,
11235,61.00,21.30,
11319,61.00,21.30,
11402,61.00,21.30,
11485,61.00,21.30,
11568,61.00,21.30,
11652,61.00,21.30,
11735,61.00,21.30,
11817,61.00,21.30,
11900,61.00,21.30,
11984,61.00,21.30,
12067,61.00,21.30,
12150,61.00,21.30,
12233,61.00,21.30,
12317,61.00,21.30,
12404,61.00,21.30,
12483,61.00,21.30,
12566,61.00,21.30,
12650,61.00,21.30,
12733,61.00,21.30,
12816,61.00,21.30,
12899,61.00,21.30,
12982,61.00,21.30,
13066,61.00,21.30,
13149,61.00,21.30,
13232,61.00,21.30,
13315,61.00,21.30,
13399,61.00,21.30,
13481,61.00,21.30,
13564,61.00,21.30,
13647,61.00,21.30,
13731,61.00,21.30,
13814,61.00,21.30,
13897,61.00,21.30,
13980,61.00,21.30,
14064,61.00,21.30,
14147,61.00,21.30,
14230,61.00,21.30,
14313,61.00,21.30,
14397,61.00,21.30,
14480,61.00,21.30,
14563,61.00,21.30,
14646,61.00,21.30,
14730,61.00,21.30,
14813,61.00,21.30,
14896,61.00,21.30,
14979,61.00,21.30,
15062,61.00,21.30,
15145,61.00,21.30,
15228,61.00,21.30,
15311,61.00,21.30,
15394,61.00,21.30,
15478,61.00,21.30,
15561,61.00,21.30,
15644,61.00,21.30,
15727,61.00,21.30,
15811,61.00,21.30,
15894,61.00,21.30,
15977,61.00,21.30,
16060,61.00,21.30,
16144,61.00,21.30,
16227,61.00,21.30,
16310,61.00,21.30,
16393,61.00,21.30,
16477,61.00,21.30,
16560,61.00,21.30,
16643,61.00,21.30,
16726,61.00,21.30,
16809,61.00,21.30,
16892,61.00,21.50,
16975,61.00,21.50,
17058,61.00,21.50,
17141,61.00,21.50,
17225,61.00,21.50,
17308,61.00,21.50,
17391,61.00,21.50,
17474,61.00,21.50,
17558,61.00,21.50,
17641,61.00,21.50,
17724,61.00,21.50,
17807,61.00,21.50,
17891,61.00,21.50,
17974,61.00,21.50,
18057,61.00,21.50,
18140,61.00,21.50,
18224,61.00,21.50,
18307,61.00,21.50,
18390,61.00,21.50,
18472,61.00,21.50,
18556,61.00,21.50,
18639,61.00,21.50,
18722,61.00,21.50,
18805,61.00,21.50,
18889,61.00,21.50,
18972,60.00,21.30,
19056,60.00,21.30,
19139,60.00,21.30,
19222,60.00,21.30,
19306,60.00,21.30,
19389,60.00,21.30,
19472,60.00,21.30,
19555,60.00,21.30,
19639,60.00,21.30,
19722,60.00,21.30,
19805,60.00,21.30,
19888,60.00,21.30,
19972,60.00,21.30,
20055,60.00,21.30,
20137,60.00,21.30,
20220,60.00,21.30,
20304,60.00,21.30,
20387,60.00,21.30,
20470,60.00,21.30,
20553,60.00,21.30,
20637,60.00,21.30,
20720,60.00,21.30,
20803,60.00,21.30,
20886,60.00,21.30,
20970,60.00,21.30,
21053,60.00,21.30,
21136,60.00,21.30,
21219,60.00,21.30,
21302,60.00,21.30,
21386,60.00,21.30,
21469,60.00,21.30,
21552,60.00,21.30,
21635,60.00,21.30,
21719,60.00,21.30,
21801,60.00,21.30,
21884,60.00,21.30,
21967,60.00,21.30,
22051,60.00,21.30,
22134,60.00,21.30,
22217,60.00,21.30,
22300,60.00,21.30,
22384,60.00,21.30,
22471,60.00,21.30,
22550,60.00,21.30,
22633,60.00,21.30,
22719,60.00,21.30,
22800,60.00,21.30,
22883,60.00,21.30,
22966,60.00,21.30,
23050,60.00,21.30,
23133,60.00,21.40,
23216,60.00,21.40,
23299,60.00,21.40,
23382,60.00,21.40,
23465,60.00,21.40,
23548,60.00,21.40,
