Time (ms),humidity (%),temperature (C*)
347134,68.00,19.80,
347189,68.00,19.80,
347273,68.00,19.80,
347357,68.00,19.80,
347442,68.00,19.80,
347526,68.00,19.80,
347610,68.00,19.80,
347694,68.00,19.80,
347779,68.00,19.80,
347863,68.00,19.80,
347947,68.00,19.80,
348030,68.00,19.80,
348115,68.00,19.80,
348199,68.00,19.80,
348283,68.00,19.80,
348368,68.00,19.80,
348452,68.00,19.80,
348536,68.00,19.80,
348620,68.00,19.80,
348705,68.00,19.80,
348789,68.00,19.80,
348873,68.00,19.80,
348957,68.00,19.80,
349042,68.00,19.80,
349126,68.00,19.80,
349210,63.00,20.50,
349294,63.00,20.50,
349378,63.00,20.50,
349463,63.00,20.50,
349547,63.00,20.50,
349631,63.00,20.50,
349716,63.00,20.50,
349800,63.00,20.50,
349884,63.00,20.50,
349968,63.00,20.50,
350053,63.00,20.50,
350137,63.00,20.50,
350221,63.00,20.50,
350305,63.00,20.50,
350390,63.00,20.50,
350474,63.00,20.50,
350558,63.00,20.50,
350642,63.00,20.50,
350727,63.00,20.50,
350811,63.00,20.50,
350895,63.00,20.50,
350980,63.00,20.50,
351064,63.00,20.50,
351148,63.00,20.50,
351232,62.00,20.40,
351315,62.00,20.40,
351400,62.00,20.40,
351484,62.00,20.40,
351568,62.00,20.40,
351652,62.00,20.40,
351737,62.00,20.40,
351821,62.00,20.40,
351905,62.00,20.40,
351989,62.00,20.40,
352074,62.00,20.40,
352158,62.00,20.40,
352242,62.00,20.40,
352326,62.00,20.40,
352411,62.00,20.40,
352495,62.00,20.40,
352579,62.00,20.40,
352664,62.00,20.40,
352748,62.00,20.40,
352832,62.00,20.40,
352916,62.00,20.40,
353001,62.00,20.40,
353085,62.00,20.40,
353169,62.00,20.40,
353253,61.00,20.60,
353337,61.00,20.60,
353422,61.00,20.60,
353506,61.00,20.60,
353590,61.00,20.60,
353675,61.00,20.60,
353759,61.00,20.60,
353843,61.00,20.60,
353927,61.00,20.60,
354012,61.00,20.60,
354096,61.00,20.60,
354180,61.00,20.60,
354264,61.00,20.60,
354349,61.00,20.60,
354433,61.00,20.60,
354516,61.00,20.60,
354600,61.00,20.60,
354685,61.00,20.60,
354769,61.00,20.60,
354853,61.00,20.60,
354937,61.00,20.60,
355022,61.00,20.60,
355106,61.00,20.60,
355190,61.00,20.60,
355275,60.00,20.60,
355359,60.00,20.60,
355443,60.00,20.60,
355527,60.00,20.60,
355611,60.00,20.60,
355696,60.00,20.60,
355780,60.00,20.60,
355864,60.00,20.60,
355948,60.00,20.60,
356033,60.00,20.60,
356117,60.00,20.60,
356201,60.00,20.60,
356285,60.00,20.60,
356370,60.00,20.60,
