timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
10313700,1624625894000430,490786539,22538487,103941,150004,0.29500002,0.72376937,2.204,3.3290002,0.78999996,1.23,109,5,0.022000002,0.022000002,-0.006,0.045,0.4224353,0,nan,0.0,3,0,1,13,0
10510654,1624625894200430,490786536,22538486,103926,149988,0.3,0.7237705,2.1680002,3.2710001,0.78999996,1.23,109,5,0.018000001,0.009000001,-0.016,0.061000004,0.4224353,0,nan,0.0,3,0,1,13,0
10713518,1624625894400430,490786533,22538486,103884,149947,0.27,0.72377163,2.1330001,3.2150002,0.78999996,1.23,109,5,0.048,0.045,0.017,0.067,0.4224353,0,nan,0.0,3,0,1,13,0
10912587,1624625894600430,490786532,22538485,103878,149941,0.26000002,0.72377264,2.098,3.157,0.78999996,1.23,109,5,0.027,-0.006,-0.027,0.045,0.4224353,0,nan,0.0,3,0,1,13,0
11109169,1624625894800430,490786531,22538484,103845,149908,0.254,0.7237735,2.0630002,3.1030002,0.78999996,1.23,109,5,0.015000001,-0.010000001,-0.012,0.07700001,0.4224353,0,nan,0.0,3,0,1,13,0
11305980,1624625895000430,490786530,22538483,103846,149909,0.23200001,0.72377443,2.0310001,3.051,0.78999996,1.23,109,9,0.021000002,-0.0050000004,-0.020000001,0.034,0.4224353,0,nan,0.0,3,0,1,13,0
11514559,1624625895200430,490786532,22538484,103873,149936,0.238,0.72377527,2.0,3.0040002,0.78999996,1.23,109,9,0.024,0.018000001,-0.016,0.034,0.4224353,0,nan,0.0,3,0,1,13,0
11708538,1624625895400430,490786533,22538486,103911,149974,0.23200001,0.72377616,1.9700001,2.9550002,0.78999996,1.23,109,9,0.016,0.0,-0.016,0.060000002,0.4224353,0,nan,0.0,3,0,1,13,0
11903925,1624625895600430,490786538,22538489,104019,150082,0.23,0.723777,1.9440001,2.9160001,0.78999996,1.23,109,9,0.013,0.010000001,-0.008,0.039,0.4224353,0,nan,0.0,3,0,1,13,0
12103560,1624625895800430,490786541,22538492,104106,150168,0.23300001,0.7237779,1.9210001,2.88,0.78999996,1.23,109,9,0.032,-0.032,0.002,0.022000002,0.4224353,0,nan,0.0,3,0,1,13,0
12302616,1624625896000430,490786546,22538494,104189,150252,0.21900001,0.72377855,1.8980001,2.845,0.78999996,1.23,109,12,0.019000001,0.010000001,-0.016,0.021000002,0.4224353,0,nan,0.0,3,0,1,13,0
12503558,1624625896200430,490786549,22538495,104246,150308,0.23,0.7237797,1.876,2.8100002,0.78999996,1.23,109,12,0.017,-0.017,0.0,0.036000002,0.4224353,0,nan,0.0,3,0,1,13,0
12703843,1624625896400430,490786553,22538496,104323,150386,0.215,0.7237804,1.8550001,2.7770002,0.78999996,1.23,109,12,0.027,-0.004,-0.027,0.034,0.4224353,0,nan,0.0,3,0,1,13,0
12903023,1624625896600430,490786557,22538499,104398,150461,0.224,0.7237812,1.835,2.7450001,0.78999996,1.23,109,12,0.015000001,-0.0050000004,-0.014,0.058000002,0.4224353,0,nan,0.0,3,0,1,13,0
13102622,1624625896800431,490786562,22538503,104497,150560,0.223,0.72378224,1.812,2.71,0.78999996,1.23,109,12,0.0050000004,-0.001,0.004,0.067,0.4224353,0,nan,0.0,3,0,1,13,0
13304651,1624625897000431,490786566,22538505,104566,150629,0.21000001,0.72378296,1.7910001,2.676,0.78999996,1.23,109,12,0.037,-0.020000001,-0.031000001,0.053000003,0.4224353,0,nan,0.0,3,0,1,13,0
13505171,1624625897200431,490786571,22538509,104651,150714,0.216,0.7237838,1.7700001,2.6430001,0.78999996,1.23,109,12,0.018000001,0.018000001,0.003,0.026,0.4224353,0,nan,0.0,3,0,1,13,0
13705136,1624625897400431,490786574,22538511,104696,150759,0.21700001,0.7237847,1.7500001,2.6120002,0.78999996,1.23,109,12,0.034,-0.030000001,-0.015000001,0.05,0.4224353,0,nan,0.0,3,0,1,13,0
