timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
7343939,1624626519400123,11010053,490787042,22539111,111906,157969,0.402,1.2772843,4.6010003,5.175,0.84999996,1.42,102,7,0.11400001,-0.081,0.080000006,-0.119,3.2289925,0,nan,0.0,1638,3,0,1,12
7545548,1624626519600124,11010053,490787039,22539066,111403,157465,0.39200002,1.2772851,4.3650002,4.855,0.84999996,1.42,102,7,0.172,0.16000001,0.063,-0.063,3.2289925,0,nan,0.0,1638,3,0,1,12
7741716,1624626519800124,11010053,490786951,22538942,109312,155374,0.37800002,1.2772859,4.005,4.2970004,0.84999996,1.42,102,7,0.09900001,0.097,-0.017,-0.05,3.2289925,0,nan,0.0,1638,3,0,1,12
7949396,1624626520000124,11010053,490786948,22538888,108776,154838,0.291,1.2772865,3.7990003,4.031,0.84999996,1.42,102,7,0.053000003,-0.024,0.048,-0.076000005,3.2289925,0,nan,0.0,1638,3,0,1,12
8147568,1624626520200124,11010053,490786955,22538859,108616,154679,0.26700002,1.2772871,3.627,3.8140001,0.84999996,1.42,102,7,0.008,0.003,0.008,-0.061000004,3.2289925,0,nan,0.0,1638,3,0,1,12
8336737,1624626520400124,11010053,490786940,22538829,108253,154316,0.296,1.277288,3.4770002,3.6280003,0.84999996,1.42,102,4,0.032,-0.024,0.022000002,-0.041,3.2289925,0,nan,0.0,1482,3,0,1,12
8544560,1624626520600124,11010053,490786957,22538830,108446,154508,0.294,1.2772887,3.3860002,3.5330002,0.84999996,1.42,102,4,0.051000003,0.051000003,0.0,-0.044000003,3.2289925,0,nan,0.0,1482,3,0,1,12
8739915,1624626520800124,11010053,490786968,22538833,108625,154688,0.26700002,1.2772892,3.3040001,3.446,0.84999996,1.42,102,4,0.034,0.032,-0.010000001,-0.055000003,3.2289925,0,nan,0.0,1482,3,0,1,12
8943645,1624626521000124,11010053,490786968,22538836,108687,154750,0.24900001,1.2772896,3.2310002,3.3680003,0.84999996,1.42,102,4,0.026,-0.001,0.026,-0.063,3.2289925,0,nan,0.0,1482,3,0,1,12
9145668,1624626521200124,11010053,490786960,22538836,108635,154697,0.24100001,1.2772902,3.164,3.2960002,0.84999996,1.42,102,4,0.007,0.007,0.0,-0.065000005,3.2289925,0,nan,0.0,1482,3,0,1,12
9336389,1624626521400124,11010053,490786955,22538844,108678,154741,0.24900001,1.2772905,3.114,3.2470002,0.84999996,1.42,102,5,0.027,0.001,0.027,-0.075,3.2289925,0,nan,0.0,1482,3,0,1,12
9546830,1624626521600124,11010053,490786951,22538850,108712,154775,0.245,1.277291,3.0640001,3.1970003,0.84999996,1.42,102,5,0.007,0.0,0.007,-0.07,3.2289925,0,nan,0.0,1482,3,0,1,12
