timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
4931329,4913694,3997730,141.15535,22.4,99641.0,1.1838999
4991564,4968904,3997730,141.15535,22.42,99641.0,1.1838999
5041918,5021643,3997730,141.28218,22.41,99639.49,1.183882
5092079,5074432,3997730,141.03116,22.42,99642.49,1.1839176
5152315,5129659,3997730,140.92284,22.43,99643.74,1.1839324
5202532,5182368,3997730,141.19763,22.42,99640.5,1.1838939
5252789,5235113,3997730,141.23991,22.43,99640.0,1.183888
5313122,5290393,3997730,140.88055,22.439999,99644.25,1.1839385
5363403,5343205,3997730,141.04967,22.439999,99642.25,1.1839148
5413529,5395911,3997730,141.11307,22.439999,99641.5,1.1839058
5473778,5451125,3997730,141.1765,22.449999,99640.75,1.183897
5523932,5503821,3997730,141.1765,22.449999,99640.75,1.183897
5574120,5556499,3997730,141.36674,22.449999,99638.5,1.1838702
5634517,5611797,3997730,141.13422,22.46,99641.25,1.1839029
5684685,5664564,3997730,141.0708,22.47,99642.0,1.1839118
5734932,5717280,3997730,141.3456,22.46,99638.74,1.1838732
5795135,5772504,3997730,141.04967,22.47,99642.25,1.1839148
5845324,5825189,3997730,141.21877,22.48,99640.25,1.183891
5895753,5878040,3997730,141.13422,22.48,99641.25,1.1839029
5955937,5933317,3997730,141.0708,22.49,99642.0,1.1839118
6006205,5986069,3997730,141.21877,22.49,99640.25,1.183891
6056403,6038786,3997730,141.13422,22.49,99641.25,1.1839029
6116793,6094042,3997730,141.30331,22.5,99639.24,1.183879
6167057,6146891,3997730,141.13422,22.51,99641.25,1.1839029
6217224,6199613,3997730,141.13422,22.51,99641.25,1.1839029
6277488,6254841,3997730,141.3456,22.51,99638.75,1.1838732
6327676,6307547,3997730,141.26105,22.51,99639.75,1.1838851
6378033,6360294,3997730,141.30331,22.519999,99639.24,1.183879
6438342,6415676,3997730,141.1765,22.529999,99640.75,1.183897
6488516,6468386,3997730,141.36674,22.529999,99638.5,1.1838702
6538778,6521135,3997730,141.32446,22.539999,99638.99,1.183876
6598958,6576342,3997730,141.15535,22.539999,99641.0,1.1838999
6649252,6629025,3997730,141.47243,22.539999,99637.24,1.1838552
6699472,6681818,3997730,141.36674,22.55,99638.49,1.1838701
6759683,6737057,3997730,141.3456,22.56,99638.74,1.1838732
6809919,6789782,3997730,141.3456,22.56,99638.74,1.1838732
6860128,6842501,3997730,141.26105,22.57,99639.75,1.1838851
6920351,6897703,3997730,141.3456,22.57,99638.74,1.1838732
6970665,6950482,3997730,141.15535,22.58,99640.99,1.1838998
7020846,7003232,3997730,141.26105,22.58,99639.75,1.1838851
7081113,7058440,3997730,141.30331,22.59,99639.24,1.183879
7131271,7111159,3997730,141.3456,22.59,99638.74,1.1838732
7181466,7163825,3997730,141.1765,22.6,99640.75,1.183897
7241821,7219079,3997730,141.23991,22.609999,99640.0,1.183888
7291957,7271845,3997730,141.02852,22.609999,99642.5,1.1839176
7342203,7324548,3997730,141.19763,22.609999,99640.5,1.1838939
7402482,7379787,3997730,141.23991,22.619999,99640.0,1.183888
7452624,7432497,3997730,141.3456,22.63,99638.74,1.1838732
7502864,7485237,3997730,141.11307,22.63,99641.49,1.1839057
7563167,7540544,3997730,141.19763,22.64,99640.5,1.1838939
7613388,7593219,3997730,141.23991,22.64,99640.0,1.183888
7663545,7645934,3997730,141.0708,22.65,99641.99,1.1839117
7723775,7701121,3997730,141.30331,22.66,99639.24,1.183879
7773991,7753840,3997730,141.13422,22.66,99641.24,1.1839027
7824257,7806535,3997730,141.26105,22.66,99639.75,1.1838851
7884455,7861829,3997730,141.19763,22.67,99640.5,1.1838939
7934673,7914538,3997730,141.28218,22.67,99639.5,1.1838821
7984893,7967276,3997730,141.13422,22.68,99641.25,1.1839029
8045129,8022477,3997730,141.13422,22.689999,99641.25,1.1839029
8095482,8075237,3997730,141.21877,22.699999,99640.25,1.183891
8145680,8128014,3997730,141.11307,22.699999,99641.5,1.1839058
8205945,8183316,3997730,141.11307,22.71,99641.5,1.1839058
8256109,8235989,3997730,141.0708,22.71,99641.99,1.1839117
8306315,8288676,3997730,141.21877,22.72,99640.25,1.183891
8366529,8343889,3997730,141.11307,22.73,99641.5,1.1839058
8416846,8396607,3997730,141.19763,22.73,99640.5,1.1838939
8467051,8449416,3997730,141.1765,22.74,99640.75,1.183897
8527269,8504629,3997730,141.21877,22.74,99640.25,1.183891
8577518,8557344,3997730,141.40901,22.75,99637.99,1.1838641
8627665,8610050,3997730,141.30331,22.75,99639.24,1.183879
8688024,8665277,3997730,141.26105,22.76,99639.75,1.1838851
8738244,8718084,3997730,141.23991,22.769999,99640.0,1.183888
8788410,8770799,3997730,141.15535,22.769999,99641.0,1.1838999
8848649,8825974,3997730,141.21877,22.779999,99640.25,1.183891
8898808,8878673,3997730,141.28218,22.789999,99639.49,1.183882
8948996,8931357,3997730,141.38788,22.789999,99638.24,1.1838671
9009441,8986630,3997730,141.0708,22.8,99642.0,1.1839118
9059665,9039541,3997730,141.21877,22.8,99640.25,1.183891
9109903,9092240,3997730,141.28218,22.81,99639.49,1.183882
9170091,9147471,3997730,141.09193,22.82,99641.75,1.1839088
9220272,9200141,3997730,140.98624,22.82,99643.0,1.1839237
9270495,9252844,3997730,141.19763,22.83,99640.5,1.1838939
9330808,9308168,3997730,141.09193,22.83,99641.75,1.1839088
9380988,9360857,3997730,141.3456,22.84,99638.74,1.1838732
9431207,9413581,3997730,141.19763,22.85,99640.5,1.1838939
9491406,9468780,3997730,141.19763,22.859999,99640.5,1.1838939
9541617,9521470,3997730,141.26105,22.859999,99639.75,1.1838851
9591878,9574246,3997730,141.3456,22.869999,99638.74,1.1838732
9652136,9629505,3997730,141.36674,22.88,99638.49,1.1838701
9702369,9682218,3997730,141.26105,22.88,99639.75,1.1838851
9752521,9734906,3997730,141.19763,22.89,99640.5,1.1838939
9812817,9790130,3997730,141.23991,22.9,99640.0,1.183888
9863083,9842917,3997730,141.21877,22.9,99640.25,1.183891
9913321,9895637,3997730,141.13422,22.91,99641.25,1.1839029
9973513,9950881,3997730,141.26105,22.92,99639.75,1.1838851
10023691,10003568,3997730,141.19763,22.92,99640.5,1.1838939
10073905,10056273,3997730,141.15535,22.93,99641.0,1.1838999
10134279,10111565,3997730,141.13422,22.939999,99641.24,1.1839027
10184450,10164327,3997730,141.28218,22.939999,99639.49,1.183882
10234675,10217053,3997730,141.26105,22.949999,99639.75,1.1838851
10294867,10272249,3997730,141.4513,22.96,99637.49,1.1838583
10345029,10324914,3997730,141.23991,22.96,99640.0,1.183888
10395266,10377622,3997730,141.19763,22.97,99640.5,1.1838939
10455556,10432884,3997730,141.19763,22.98,99640.5,1.1838939
10505785,10485644,3997730,141.36674,22.98,99638.5,1.1838702
10555943,10538337,3997730,141.19763,22.99,99640.5,1.1838939
10616133,10593507,3997730,141.1765,23.0,99640.75,1.183897
10666358,10646209,3997730,141.43015,23.0,99637.74,1.1838611
10716567,10698944,3997730,141.1765,23.01,99640.75,1.183897
10776954,10754214,3997730,141.19763,23.019999,99640.5,1.1838939
10827079,10806936,3997730,141.21877,23.019999,99640.25,1.183891
10877225,10859612,3997730,141.26105,23.029999,99639.75,1.1838851
10937448,10914799,3997730,141.09193,23.039999,99641.75,1.1839088
10987605,10967492,3997730,141.21877,23.05,99640.25,1.183891
11037815,11020195,3997730,141.30331,23.05,99639.24,1.183879
11098190,11075487,3997730,141.21877,23.06,99640.25,1.183891
11148351,11128235,3997730,141.32446,23.06,99638.99,1.183876
