timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
4565982,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5074592,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5583730,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6089628,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6597471,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7101550,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7604850,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8114072,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8618513,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9120568,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9628488,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10138498,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10639841,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11139959,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11645649,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12154508,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12659627,752085,0,0,0,304644140,304185356,305037324,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13168476,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13669832,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14177478,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14682526,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15187623,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15691080,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16197495,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16710159,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17214523,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17721632,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18222476,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18734139,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19238533,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19740476,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20249628,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20756546,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21266272,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21775087,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22282479,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22782572,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23796527,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24303513,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24812581,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25314626,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25824948,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26328603,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26829143,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27330478,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27832639,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28335297,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28837762,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29343502,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29845668,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30354506,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30862512,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31363614,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31867478,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32378380,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32882482,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33383666,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33887504,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34394505,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34902483,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35409651,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35909731,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36411683,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36922776,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37430818,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37932478,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38004481,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38514478,752085,0,0,0,304644140,304185356,36208655,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38860477,752085,0,0,0,304644140,304185356,36208655,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39361555,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39873667,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40384249,752085,0,0,0,304644140,304185356,304644111,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40884666,752085,0,0,0,304644140,304185356,304644143,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40980683,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41491100,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41991908,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42495508,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42999648,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43501824,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44002622,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44505545,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45012946,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45520494,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46030477,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46532540,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47032546,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47536478,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48042884,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48544273,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49053047,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49562557,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50062878,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50573518,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51075881,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51588656,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52097516,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52601363,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53104514,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53609692,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54113826,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54617529,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55117589,40980678,0,0,0,304644140,304185356,304644143,4,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
