timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
5398221,0,0,1,0,0,1,1,0,0,0,0,0,0
6412521,0,0,1,0,0,1,1,0,0,0,0,0,0
7928621,0,0,1,0,0,1,1,0,0,0,0,0,0
8434465,0,0,1,0,0,1,1,0,0,0,0,0,0
8943672,0,0,1,0,0,1,1,0,0,0,0,0,0
9448466,0,0,1,0,0,1,1,0,0,0,0,0,0
9948583,0,0,1,0,0,1,1,0,0,0,0,0,0
10454693,0,0,1,0,0,1,1,0,0,0,0,0,0
10964779,0,0,1,0,0,1,1,0,0,0,0,0,0
11467353,0,0,1,0,0,1,1,0,0,0,0,0,0
11977152,0,0,1,0,0,1,1,0,0,0,0,0,0
12488713,0,0,1,0,0,1,1,0,0,0,0,0,0
12997796,0,0,1,0,0,1,1,0,0,0,0,0,0
13503467,0,0,1,0,0,1,1,0,0,0,0,0,0
14004843,0,0,1,0,0,1,1,0,0,0,0,0,0
14513613,0,0,1,0,0,1,1,0,0,0,0,0,0
15021696,0,0,1,0,0,1,1,0,0,0,0,0,0
15528671,0,0,1,0,0,1,1,0,0,0,0,0,0
16036498,0,0,1,0,0,1,1,0,0,0,0,0,0
16539577,0,0,1,0,0,1,1,0,0,0,0,0,0
17048466,0,0,1,0,0,1,1,0,0,0,0,0,0
17558604,0,0,1,0,0,1,1,0,0,0,0,0,0
18066334,0,0,1,0,0,1,1,0,0,0,0,0,0
18574036,0,0,1,0,0,1,1,0,0,0,0,0,0
19081465,0,0,1,0,0,1,1,0,0,0,0,0,0
19581626,0,0,1,0,0,1,1,0,0,0,0,0,0
20081807,0,0,1,0,0,1,1,0,0,0,0,0,0
20588471,0,0,1,0,0,1,1,0,0,0,0,0,0
21096535,0,0,1,0,0,1,1,0,0,0,0,0,0
21596610,0,0,1,0,0,1,1,0,0,0,0,0,0
22104535,0,0,1,0,0,1,1,0,0,0,0,0,0
22614909,0,0,1,0,0,1,1,0,0,0,0,0,0
23121559,0,0,1,0,0,1,1,0,0,0,0,0,0
23631509,0,0,1,0,0,1,1,0,0,0,0,0,0
23859689,0,0,1,0,0,1,1,0,0,0,0,0,0
24368484,0,0,1,0,0,1,1,0,0,0,0,0,0
24878712,0,0,1,0,0,1,1,0,0,0,0,0,0
25387710,0,0,1,0,0,1,1,0,0,0,0,0,0
25888896,0,0,1,0,0,1,1,0,0,0,0,0,0
26397747,0,0,1,0,0,1,1,0,0,0,0,0,0
26902478,0,0,1,0,0,1,1,0,0,0,0,0,0
27406548,0,0,1,0,0,1,1,0,0,0,0,0,0
27909474,0,0,1,0,0,1,1,0,0,0,0,0,0
28413508,0,0,1,0,0,1,1,0,0,0,0,0,0
28921479,0,0,1,0,0,1,1,0,0,0,0,0,0
29428614,0,0,1,0,0,1,1,0,0,0,0,0,0
29931732,0,0,1,0,0,1,1,0,0,0,0,0,0
30440085,0,0,1,0,0,1,1,0,0,0,0,0,0
30945474,0,0,1,0,0,1,1,0,0,0,0,0,0
31455550,0,0,1,0,0,1,1,0,0,0,0,0,0
31963478,0,0,1,0,0,1,1,0,0,0,0,0,0
32469475,0,0,1,0,0,1,1,0,0,0,0,0,0
32978013,0,0,1,0,0,1,1,0,0,0,0,0,0
33480511,0,0,1,0,0,1,1,0,0,0,0,0,0
33982475,0,0,1,0,0,1,1,0,0,0,0,0,0
34484672,0,0,1,0,0,1,1,0,0,0,0,0,0
34988603,0,0,1,0,0,1,1,0,0,0,0,0,0
35491507,0,0,1,0,0,1,1,0,0,0,0,0,0
35997113,0,0,1,0,0,1,1,0,0,0,0,0,0
36508947,0,0,1,0,0,1,1,0,0,0,0,0,0
37016488,0,0,1,0,0,1,1,0,0,0,0,0,0
37520475,0,0,1,0,0,1,1,0,0,0,0,0,0
38022531,0,0,1,0,0,1,1,0,0,0,0,0,0
38526476,0,0,1,0,0,1,1,0,0,0,0,0,0
39030761,0,0,1,0,0,1,1,0,0,0,0,0,0
39532584,0,0,1,0,0,1,1,0,0,0,0,0,0
40034727,0,0,1,0,0,1,1,0,0,0,0,0,0
40542484,0,0,1,0,0,1,1,0,0,0,0,0,0
41052479,0,0,1,0,0,1,1,0,0,0,0,0,0
41554205,0,0,1,0,0,1,1,0,0,0,0,0,0
42054647,0,0,1,0,0,1,1,0,0,0,0,0,0
42557811,0,0,1,0,0,1,1,0,0,0,0,0,0
43058899,0,0,1,0,0,1,1,0,0,0,0,0,0
43569234,0,0,1,0,0,1,1,0,0,0,0,0,0
44075844,0,0,1,0,0,1,1,0,0,0,0,0,0
44580476,0,0,1,0,0,1,1,0,0,0,0,0,0
45587364,0,0,1,0,0,1,1,0,0,0,0,0,0
46093603,0,0,1,0,0,1,1,0,0,0,0,0,0
46597696,0,0,1,0,0,1,1,0,0,0,0,0,0
47101370,0,0,1,0,0,1,1,0,0,0,0,0,0
47602732,0,0,1,0,0,1,1,0,0,0,0,0,0
48109555,0,0,1,0,0,1,1,0,0,0,0,0,0
48610666,0,0,1,0,0,1,1,0,0,0,0,0,0
49116477,0,0,1,0,0,1,1,0,0,0,0,0,0
49623473,0,0,1,0,0,1,1,0,0,0,0,0,0
50126895,0,0,1,0,0,1,1,0,0,0,0,0,0
50630931,0,0,1,0,0,1,1,0,0,0,0,0,0
51141490,0,0,1,0,0,1,1,0,0,0,0,0,0
51642512,0,0,1,0,0,1,1,0,0,0,0,0,0
52144622,0,0,1,0,0,1,1,0,0,0,0,0,0
52645494,0,0,1,0,0,1,1,0,0,0,0,0,0
53155507,0,0,1,0,0,1,1,0,0,0,0,0,0
53656597,0,0,1,0,0,1,1,0,0,0,0,0,0
54170101,0,0,1,0,0,1,1,0,0,0,0,0,0
54677731,0,0,1,0,0,1,1,0,0,0,0,0,0
55180513,0,0,1,0,0,1,1,0,0,0,0,0,0
55687939,0,0,1,0,0,1,1,0,0,0,0,0,0
56190263,0,0,1,0,0,1,1,0,0,0,0,0,0
56690583,0,0,1,0,0,1,1,0,0,0,0,0,0
57193478,0,0,1,0,0,1,1,0,0,0,0,0,0
