timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
10854583,1628250972399999,490787289,22544009,95280,141343,0.425,0.7503252,2.3430002,3.1990001,0.84999996,1.1999999,96,4,0.11400001,-0.095000006,0.063,-0.20300001,1.5615778,0,nan,0.0,3,0,1,11,0
11059421,1628250972599999,490787289,22544010,95581,141644,0.39200002,0.75032663,2.295,3.1390002,0.84999996,1.1999999,96,4,0.136,-0.12900001,0.044000003,-0.17400001,1.5615778,0,nan,0.0,3,0,1,11,0
11261083,1628250972799999,490787285,22544037,95497,141560,0.326,0.7503279,2.242,3.051,0.84999996,1.1999999,96,6,0.078,-0.002,0.078,-0.19000001,1.5615778,0,nan,0.0,3,0,1,11,0
11459579,1628250973000000,490787283,22544071,95352,141415,0.29200003,0.7503289,2.187,2.9620001,0.81,1.09,96,6,0.10300001,0.010000001,0.10300001,-0.15300001,1.5615778,0,nan,0.0,3,0,1,12,0
11666558,1628250973199999,490787278,22544072,95427,141490,0.25100002,0.75032973,2.148,2.8950002,0.81,1.09,96,6,0.05,-0.028,-0.042000003,-0.15200001,1.5615778,0,nan,0.0,3,0,1,12,0
11861502,1628250973399999,490787277,22544077,95579,141642,0.245,0.7503306,2.0970001,2.8330002,0.77,1.09,96,6,0.032,-0.027,-0.018000001,-0.141,1.5615778,0,nan,0.0,3,0,1,13,0
12064528,1628250973599999,490787279,22544067,96050,142113,0.24200001,0.7503315,2.0440001,2.7640002,0.77,1.09,96,6,0.023000002,-0.010000001,-0.021000002,-0.165,1.5615778,0,nan,0.0,3,0,1,13,0
12254424,1628250973799999,490787275,22544059,96430,142492,0.24200001,0.7503324,2.002,2.707,0.77,1.09,96,3,0.049000002,0.011000001,-0.048,-0.133,1.5615778,0,nan,0.0,3,0,1,13,0
12454721,1628250974000000,490787271,22544049,96733,142796,0.231,0.75033313,1.9720001,2.6620002,0.77,1.09,96,3,0.025,-0.024,0.007,-0.117000006,1.5615778,0,nan,0.0,3,0,1,13,0
12656984,1628250974199999,490787269,22544036,97020,143083,0.24000001,0.75033396,1.9430001,2.6200001,0.77,1.09,96,3,0.018000001,-0.018000001,-0.004,-0.15200001,1.5615778,0,nan,0.0,3,0,1,13,0
12857537,1628250974399999,490787267,22544027,97253,143316,0.23300001,0.7503348,1.917,2.582,0.77,1.09,96,3,0.047000002,0.017,-0.044000003,-0.16000001,1.5615778,0,nan,0.0,3,0,1,13,0
13056424,1628250974599999,490787259,22544033,97293,143356,0.23700002,0.7503357,1.8900001,2.5440001,0.77,1.09,96,3,0.037,-0.035,0.013,-0.13100001,1.5615778,0,nan,0.0,3,0,1,13,0
13253107,1628250974799999,490787257,22544025,97422,143485,0.24100001,0.7503365,1.8650001,2.512,0.77,1.09,96,4,0.025,-0.024,-0.003,-0.106000006,1.5615778,0,nan,0.0,3,0,1,13,0
13454438,1628250975000000,490787250,22544032,97455,143518,0.23500001,0.75033724,1.8410001,2.48,0.77,1.09,96,4,0.008,0.002,-0.008,-0.11100001,1.5615778,0,nan,0.0,3,0,1,13,0
13654478,1628250975199999,490787240,22544061,97360,143423,0.22800002,0.7503381,1.7990001,2.4290001,0.77,1.09,96,4,0.025,0.0,-0.025,-0.106000006,1.5615778,0,nan,0.0,3,0,1,13,0
13858112,1628250975399999,490787229,22544083,97306,143369,0.22700001,0.75033903,1.761,2.384,0.77,1.09,96,4,0.032,0.023000002,-0.021000002,-0.07700001,1.5615778,0,nan,0.0,3,0,1,13,0
14056452,1628250975599999,490787221,22544102,97258,143321,0.22200002,0.75033975,1.7260001,2.344,0.77,1.09,96,4,0.049000002,0.042000003,0.026,-0.081,1.5615778,0,nan,0.0,3,0,1,13,0
14256500,1628250975799999,490787214,22544110,97271,143334,0.22700001,0.7503406,1.6940001,2.306,0.77,1.09,96,3,0.048,-0.047000002,-0.007,-0.071,1.5615778,0,nan,0.0,3,0,1,13,0
14458567,1628250976000000,490787210,22544111,97323,143386,0.238,0.7503415,1.664,2.2710001,0.77,1.09,96,3,0.016,0.013,-0.008,-0.076000005,1.5615778,0,nan,0.0,3,0,1,13,0
14658421,1628250976200000,490787204,22544117,97423,143486,0.24900001,0.7503423,1.6340001,2.2380002,0.77,1.09,96,3,0.037,-0.022000002,0.030000001,-0.071,1.5615778,0,nan,0.0,3,0,1,13,0
14861502,1628250976400000,490787204,22544110,97490,143553,0.22800002,0.7503432,1.6070001,2.207,0.77,1.09,96,3,0.042000003,0.041,-0.010000001,-0.025,1.5615778,0,nan,0.0,3,0,1,13,0
15058419,1628250976600000,490787201,22544115,97502,143565,0.18300001,0.75034386,1.5860001,2.184,0.77,1.09,96,3,0.120000005,0.095000006,0.07300001,0.026,1.5615778,0,nan,0.0,3,0,1,13,0
15258421,1628250976800000,490787194,22544125,97549,143612,0.26700002,0.75034475,1.5730001,2.17,0.77,1.09,96,3,0.15200001,-0.047000002,0.14500001,-0.126,1.5615778,0,nan,0.0,3,0,1,13,0
15458417,1628250977000000,490787189,22544123,97512,143575,0.21200001,0.7503458,1.5580001,2.1550002,0.77,1.09,96,3,0.26700002,-0.014,-0.26700002,-0.07300001,1.5615778,0,nan,0.0,3,0,1,13,0
15657559,1628250977200000,490787182,22544127,97560,143623,0.23500001,0.7503467,1.5450001,2.1430001,0.77,1.09,96,3,0.08400001,-0.058000002,-0.062000003,-0.106000006,1.5615778,0,nan,0.0,3,0,1,13,0
15854422,1628250977400000,490787178,22544132,97579,143642,0.268,0.75034773,1.5330001,2.13,0.77,1.09,96,3,0.023000002,-0.008,0.021000002,-0.030000001,1.5615778,0,nan,0.0,3,0,1,13,0
16062492,1628250977600000,490787175,22544129,97658,143720,0.25100002,0.75034857,1.519,2.1160002,0.77,1.09,96,3,0.095000006,0.053000003,-0.079,-0.056,1.5615778,0,nan,0.0,3,0,1,13,0
16264352,1628250977800000,490787170,22544130,97776,143839,0.246,0.75034964,1.5000001,2.0970001,0.77,1.09,96,6,0.041,-0.023000002,-0.033,-0.09900001,1.5615778,0,nan,0.0,3,0,1,13,0
16458536,1628250978000000,490787164,22544119,97914,143977,0.24400002,0.75035053,1.4840001,2.0800002,0.77,1.09,96,6,0.18,-0.17500001,-0.042000003,-0.082,1.5615778,0,nan,0.0,3,0,1,13,0
16658845,1628250978200000,490787162,22544115,97897,143960,0.26000002,0.75035137,1.473,2.071,0.77,1.09,96,6,0.037,0.033,-0.017,-0.039,1.5615778,0,nan,0.0,3,0,1,13,0
16858423,1628250978400000,490787160,22544114,97885,143948,0.26700002,0.7503525,1.463,2.0630002,0.75,1.0799999,96,6,0.052,0.043,-0.028,-0.07300001,1.5615778,0,nan,0.0,3,0,1,14,0
17060434,1628250978600000,490787159,22544116,97849,143912,0.26700002,0.7503535,1.455,2.0540001,0.75,1.0799999,96,6,0.057000004,0.041,-0.039,-0.086,1.5615778,0,nan,0.0,3,0,1,14,0
17265720,1628250978800000,490787158,22544113,97818,143881,0.257,0.75035435,1.4460001,2.042,0.75,1.0799999,96,4,0.033,-0.017,-0.029000001,-0.066,1.5615778,0,nan,0.0,3,0,1,14,0
17463837,1628250979000000,490787162,22544106,97714,143777,0.263,0.7503554,1.4330001,2.023,0.71999997,1.0799999,96,4,0.029000001,0.012,-0.026,-0.11400001,1.5615778,0,nan,0.0,3,0,1,15,0
17662940,1628250979200000,490787168,22544098,97534,143597,0.26500002,0.7503563,1.4200001,2.0010002,0.71999997,1.0799999,96,4,0.071,0.060000002,-0.037,-0.109000005,1.5615778,0,nan,0.0,3,0,1,15,0
17865421,1628250979400000,490787167,22544091,97559,143622,0.25300002,0.75035715,1.409,1.9900001,0.71999997,1.0799999,96,4,0.08800001,0.046000004,-0.075,-0.09900001,1.5615778,0,nan,0.0,3,0,1,15,0
18061349,1628250979600000,490787165,22544090,97589,143652,0.254,0.75035816,1.401,1.983,0.71999997,1.0799999,96,4,0.007,-0.002,-0.007,-0.10700001,1.5615778,0,nan,0.0,3,0,1,15,0
18264597,1628250979800000,490787161,22544089,97584,143647,0.25500003,0.7503591,1.391,1.9760001,0.71999997,1.0799999,89,4,0.006,0.003,-0.0050000004,-0.09900001,1.5615778,0,nan,0.0,3,0,1,15,0
18457560,1628250980000000,490787157,22544088,97647,143710,0.252,0.75036013,1.3800001,1.968,0.71999997,1.0799999,89,4,0.044000003,-0.024,0.037,-0.136,1.5615778,0,nan,0.0,3,0,1,15,0
18663602,1628250980200001,490787153,22544085,97688,143751,0.24900001,0.750361,1.3690001,1.9610001,0.71999997,1.0799999,89,4,0.057000004,0.004,-0.056,-0.120000005,1.5615778,0,nan,0.0,3,0,1,15,0
18862812,1628250980400001,490787149,22544095,97623,143686,0.252,0.75036204,1.3510001,1.945,0.71999997,1.0799999,89,4,0.012,-0.008,0.008,-0.125,1.5615778,0,nan,0.0,3,0,1,15,0
19061439,1628250980600001,490787145,22544116,97474,143537,0.24700001,0.75036293,1.3230001,1.914,0.71999997,1.0799999,89,4,0.042000003,0.039,0.017,-0.109000005,1.5615778,0,nan,0.0,3,0,1,15,0
19264921,1628250980800001,490787140,22544132,97421,143484,0.23500001,0.7503638,1.2950001,1.8820001,0.71999997,1.0799999,89,4,0.004,-0.001,-0.003,-0.093,1.5615778,0,nan,0.0,3,0,1,15,0
19465225,1628250981000001,490787133,22544139,97526,143589,0.23600002,0.75036466,1.2700001,1.8510001,0.71999997,1.0799999,89,4,0.018000001,0.018000001,0.001,-0.082,1.5615778,0,nan,0.0,3,0,1,15,0
19658629,1628250981200001,490787126,22544153,97565,143628,0.22800002,0.75036556,1.248,1.825,0.71999997,1.0799999,89,4,0.006,-0.006,-0.002,-0.07,1.5615778,0,nan,0.0,3,0,1,15,0
19863073,1628250981400001,490787119,22544158,97689,143752,0.224,0.7503664,1.228,1.8010001,0.71999997,1.0799999,89,4,0.037,-0.037,-0.002,-0.075,1.5615778,0,nan,0.0,3,0,1,15,0
20060479,1628250981600001,490787112,22544170,97721,143784,0.22800002,0.75036734,1.2110001,1.779,0.71999997,1.0799999,89,4,0.002,0.0,0.002,-0.071,1.5615778,0,nan,0.0,3,0,1,15,0
20265561,1628250981800001,490787107,22544177,97742,143805,0.22900002,0.7503682,1.195,1.7590001,0.75,1.0799999,90,4,0.043,-0.043,-0.0050000004,-0.054,1.5615778,0,nan,0.0,3,0,1,14,0
20465860,1628250982000001,490787104,22544181,97818,143881,0.224,0.7503689,1.182,1.7420001,0.75,1.0799999,90,4,0.025,0.017,0.018000001,-0.045,1.5615778,0,nan,0.0,3,0,1,14,0
21058424,1628250982600001,490787094,22544211,97953,144016,0.21100001,0.75037134,1.141,1.6840001,0.75,1.0799999,90,4,0.037,-0.037,0.003,-0.079,1.5615778,0,nan,0.0,3,0,1,14,0
21265518,1628250982800001,490787091,22544219,98003,144066,0.209,0.750372,1.128,1.664,0.75,1.0799999,90,4,0.011000001,0.007,-0.008,-0.079,1.5615778,0,nan,0.0,3,0,1,14,0
21464907,1628250983000001,490787087,22544225,98096,144159,0.21100001,0.7503727,1.1190001,1.6500001,0.71999997,1.0799999,90,4,0.020000001,-0.017,0.011000001,-0.059000004,1.5615778,0,nan,0.0,3,0,1,15,0
21663861,1628250983200001,490787084,22544230,98212,144275,0.215,0.7503734,1.11,1.6350001,0.71999997,1.0799999,90,4,0.047000002,0.047000002,0.002,-0.054,1.5615778,0,nan,0.0,3,0,1,15,0
21863884,1628250983400001,490787080,22544235,98341,144404,0.21900001,0.75037426,1.103,1.6250001,0.75,1.0799999,90,4,0.003,-0.003,0.001,-0.068,1.5615778,0,nan,0.0,3,0,1,14,0
22062739,1628250983600001,490787076,22544239,98427,144490,0.21800001,0.750375,1.0960001,1.616,0.75,1.0799999,90,4,0.05,0.047000002,-0.015000001,-0.054,1.5615778,0,nan,0.0,3,0,1,14,0
22255897,1628250983800001,490787074,22544242,98483,144546,0.21700001,0.75037587,1.0910001,1.608,0.75,1.0799999,96,5,0.030000001,0.015000001,-0.026,-0.049000002,1.5615778,0,nan,0.0,3,0,1,14,0
22455219,1628250984000001,490787071,22544245,98556,144619,0.22000001,0.7503765,1.0860001,1.6020001,0.75,1.0799999,96,5,0.021000002,-0.014,0.017,-0.029000001,1.5615778,0,nan,0.0,3,0,1,14,0
22655962,1628250984200002,490787069,22544249,98612,144675,0.18900001,0.75037724,1.08,1.5920001,0.75,1.0799999,96,5,0.022000002,0.003,0.022000002,-0.012,1.5615778,0,nan,0.0,3,0,1,14,0
22854214,1628250984400002,490787067,22544256,98630,144693,0.21200001,0.75037795,1.0710001,1.5790001,0.75,1.0799999,96,5,0.015000001,-0.008,0.012,-0.014,1.5615778,0,nan,0.0,3,0,1,14,0
23052801,1628250984600002,490787067,22544263,98644,144707,0.202,0.75037867,1.062,1.5680001,0.75,1.0799999,96,5,0.028,0.009000001,0.027,-0.031000001,1.5615778,0,nan,0.0,3,0,1,14,0
23256421,1628250984800002,490787067,22544267,98644,144707,0.22900002,0.7503795,1.0550001,1.5600001,0.75,1.0799999,96,4,0.023000002,-0.023000002,0.003,-0.028,1.5615778,0,nan,0.0,3,0,1,14,0
23455511,1628250985000002,490787068,22544267,98636,144699,0.23200001,0.7503804,1.051,1.5560001,0.75,1.0799999,96,4,0.052,0.047000002,-0.023000002,-0.003,1.5615778,0,nan,0.0,3,0,1,14,0
23649445,1628250985200002,490787068,22544270,98654,144717,0.21700001,0.75038105,1.046,1.554,0.75,1.0799999,96,4,0.072000004,-0.010000001,0.072000004,-0.046000004,1.5615778,0,nan,0.0,3,0,1,14,0
23853860,1628250985400002,490787069,22544269,98628,144691,0.22800002,0.75038195,1.042,1.5510001,0.75,1.0799999,96,4,0.008,0.008,0.001,-0.033,1.5615778,0,nan,0.0,3,0,1,14,0
24055404,1628250985600002,490787070,22544269,98631,144694,0.23500001,0.7503828,1.0380001,1.5480001,0.75,1.0799999,96,4,0.014,-0.011000001,-0.008,-0.035,1.5615778,0,nan,0.0,3,0,1,14,0
24257862,1628250985800002,490787070,22544270,98636,144699,0.23300001,0.75038373,1.034,1.5450001,0.75,1.0799999,96,5,0.014,0.004,0.013,-0.052,1.5615778,0,nan,0.0,3,0,1,14,0
24456309,1628250986000002,490787071,22544271,98630,144693,0.24400002,0.75038433,1.0300001,1.5430001,0.75,1.0799999,96,5,0.026,0.022000002,-0.014,-0.025,1.5615778,0,nan,0.0,3,0,1,14,0
24655587,1628250986200002,490787072,22544273,98620,144683,0.245,0.75038546,1.026,1.542,0.75,1.0799999,96,5,0.021000002,0.020000001,-0.007,-0.008,1.5615778,0,nan,0.0,3,0,1,14,0
24851435,1628250986400002,490787072,22544274,98642,144705,0.23400001,0.7503863,1.023,1.5410001,0.75,1.0799999,96,5,0.024,-0.022000002,-0.008,-0.041,1.5615778,0,nan,0.0,3,0,1,14,0
25053094,1628250986600002,490787073,22544277,98650,144713,0.223,0.7503872,1.0200001,1.5410001,0.75,1.0799999,96,5,0.040000003,0.017,0.037,-0.034,1.5615778,0,nan,0.0,3,0,1,14,0
25251869,1628250986800002,490787074,22544278,98659,144722,0.231,0.75038785,1.0170001,1.5400001,0.78,1.0799999,96,5,0.029000001,0.021000002,-0.020000001,-0.036000002,1.5615778,0,nan,0.0,3,0,1,13,0
25457532,1628250987000002,490787074,22544279,98658,144721,0.23400001,0.75038874,1.0150001,1.5400001,0.78,1.0799999,96,5,0.011000001,0.001,-0.011000001,-0.037,1.5615778,0,nan,0.0,3,0,1,13,0
25657714,1628250987200002,490787075,22544281,98670,144733,0.22700001,0.7503896,1.0120001,1.539,0.78,1.0799999,96,5,0.049000002,0.040000003,-0.028,-0.038000003,1.5615778,0,nan,0.0,3,0,1,13,0
25858423,1628250987400002,490787075,22544283,98652,144715,0.22800002,0.7503905,1.0090001,1.5380001,0.81,1.12,96,5,0.012,-0.004,-0.011000001,-0.028,1.5615778,0,nan,0.0,3,0,1,12,0
26055465,1628250987600002,490787075,22544289,98614,144677,0.202,0.75039124,1.0040001,1.534,0.78,1.0799999,96,5,0.028,-0.016,-0.022000002,-0.025,1.5615778,0,nan,0.0,3,0,1,13,0
26257703,1628250987800002,490787076,22544294,98653,144716,0.20700002,0.7503921,0.998,1.5250001,0.78,1.0799999,96,5,0.032,-0.014,-0.029000001,-0.058000002,1.5615778,0,nan,0.0,3,0,1,13,0
26458507,1628250988000002,490787078,22544302,98670,144733,0.21800001,0.7503928,0.99100006,1.5130001,0.78,1.0799999,96,5,0.041,-0.009000001,0.040000003,-0.044000003,1.5615778,0,nan,0.0,3,0,1,13,0
26656794,1628250988200003,490787079,22544308,98676,144739,0.2,0.7503935,0.9850001,1.5050001,0.78,1.0799999,96,5,0.038000003,0.018000001,-0.033,-0.026,1.5615778,0,nan,0.0,3,0,1,13,0
26858499,1628250988400003,490787080,22544315,98687,144750,0.22200002,0.75039434,0.98,1.496,0.78,1.0799999,96,5,0.027,-0.004,0.027,-0.078,1.5615778,0,nan,0.0,3,0,1,13,0
27059062,1628250988600003,490787080,22544319,98659,144722,0.20600002,0.75039524,0.975,1.4870001,0.78,1.0799999,96,5,0.029000001,-0.017,-0.024,-0.068,1.5615778,0,nan,0.0,3,0,1,13,0
27257640,1628250988800003,490787078,22544327,98603,144666,0.25800002,0.7503961,0.97200006,1.4810001,0.78,1.0799999,96,8,0.15200001,-0.08800001,0.125,-0.029000001,1.5615778,0,nan,0.0,3,0,1,13,0
27456426,1628250989000003,490787077,22544331,98583,144645,0.27600002,0.75039715,0.9710001,1.4770001,0.78,1.0799999,96,8,0.071,-0.069000006,0.017,-0.031000001,1.5615778,0,nan,0.0,3,0,1,13,0
27658446,1628250989200003,490787080,22544331,98490,144553,0.231,0.75039804,0.96800005,1.4660001,0.74,1.0799999,96,8,0.012,0.012,0.001,0.020000001,1.5615778,0,nan,0.0,3,0,1,14,0
27856423,1628250989400003,490787081,22544333,98485,144548,0.224,0.75039876,0.96300006,1.4540001,0.78,1.0799999,96,8,0.035,-0.033,-0.010000001,-0.044000003,1.5615778,0,nan,0.0,3,0,1,13,0
28053741,1628250989600003,490787081,22544338,98543,144606,0.22800002,0.7503996,0.96000004,1.4440001,0.74,1.0799999,96,8,0.016,0.011000001,0.012,-0.029000001,1.5615778,0,nan,0.0,3,0,1,14,0
28258435,1628250989800003,490787082,22544341,98626,144689,0.24300002,0.7504004,0.95600003,1.437,0.71999997,1.0799999,97,8,0.040000003,0.038000003,0.010000001,-0.07300001,1.5615778,0,nan,0.0,3,0,1,15,0
28456553,1628250990000003,490787083,22544341,98648,144711,0.238,0.7504013,0.952,1.4280001,0.74,1.0799999,97,8,0.037,0.036000002,0.007,-0.082,1.5615778,0,nan,0.0,3,0,1,14,0
