timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
3094847,inf,0,1,1,1,0,0,1,0,0,1
4095075,inf,0,1,1,1,0,0,1,0,0,1
5105350,inf,0,1,1,1,0,0,1,0,0,1
6106136,inf,0,1,1,1,0,0,1,0,0,1
7116106,inf,0,1,1,1,0,0,1,0,0,1
8116222,inf,0,1,1,1,0,0,1,0,0,1
9116433,inf,0,1,1,1,0,0,1,0,0,1
10116437,inf,0,1,1,1,0,0,1,0,0,1
11116766,inf,0,1,1,1,0,0,1,0,0,1
12117024,inf,0,1,1,1,0,0,1,0,0,1
13117079,inf,0,1,1,1,0,0,1,0,0,1
14117109,inf,0,1,1,1,0,0,1,0,0,1
15117327,inf,0,1,1,1,0,0,1,0,0,1
16117539,inf,0,1,1,1,0,0,1,0,0,1
19119388,inf,0,1,1,1,0,0,1,0,0,1
20119614,inf,0,1,1,1,0,0,1,0,0,1
21121090,inf,0,1,1,1,0,0,1,0,0,1
22122318,inf,0,1,1,1,0,0,1,0,0,1
23123697,inf,0,1,1,1,0,0,1,0,0,1
24125172,inf,0,1,1,1,0,0,1,0,0,1
25126674,inf,0,1,1,1,0,0,1,0,0,1
26128752,inf,0,1,1,1,0,0,1,0,0,1
27128881,inf,0,1,1,1,0,0,1,0,0,1
28129349,inf,0,1,1,1,0,0,1,0,0,1
29129586,inf,0,1,1,1,0,0,1,0,0,1
31130881,inf,0,1,1,1,0,0,1,0,0,1
32131009,inf,0,1,1,1,0,0,1,0,0,1
33131078,inf,0,1,1,1,0,0,1,0,0,1
34131260,inf,0,1,1,1,0,0,1,0,0,1
35131428,inf,0,1,1,1,0,0,1,0,0,1
36133869,inf,0,1,1,1,0,0,1,0,0,1
37135295,inf,0,1,1,1,0,0,1,0,0,1
38136694,inf,0,1,1,1,0,0,1,0,0,1
39137113,inf,0,1,1,1,0,0,1,0,0,1
40147074,inf,0,1,1,1,0,0,1,0,0,1
41149332,inf,0,1,1,1,0,0,1,0,0,1
42149525,inf,0,1,1,1,0,0,1,0,0,1
43149830,inf,0,1,1,1,0,0,1,0,0,1
44159179,inf,0,1,1,1,0,0,1,0,0,1
45159291,inf,0,1,1,1,0,0,1,0,0,1
46159923,inf,0,1,1,1,0,0,1,0,0,1
47161172,inf,0,1,1,1,0,0,1,0,0,1
48163747,inf,0,1,1,1,0,0,1,0,0,1
49163800,inf,0,1,1,1,0,0,1,0,0,1
50163953,inf,0,1,1,1,0,0,1,0,0,1
51165388,inf,0,1,1,1,0,0,1,0,0,1
52165578,inf,0,1,1,1,0,0,1,0,0,1
53166026,inf,0,1,1,1,0,0,1,0,0,1
55166367,inf,0,1,1,1,0,0,1,0,0,1
56166430,inf,0,1,1,1,0,0,1,0,0,1
57166562,inf,0,1,1,1,0,0,1,0,0,1
58168053,inf,0,1,1,1,0,0,1,0,0,1
59169511,inf,0,1,1,1,0,0,1,0,0,1
60171147,inf,0,1,1,1,0,0,1,0,0,1
61171555,inf,0,1,1,1,0,0,1,0,0,1
62172814,inf,0,1,1,1,0,0,1,0,0,1
63172984,inf,0,1,1,1,0,0,1,0,0,1
64174586,inf,0,1,1,1,0,0,1,0,0,1
65174593,inf,0,1,1,1,0,0,1,0,0,1
66174800,inf,0,1,1,1,0,0,1,0,0,1
67174956,inf,0,1,1,1,0,0,1,0,0,1
68175259,inf,0,1,1,1,0,0,1,0,0,1
69176642,inf,0,1,1,1,0,0,1,0,0,1
70178210,inf,0,1,1,1,0,0,1,0,0,1
71179999,inf,0,1,1,1,0,0,1,0,0,1
72189852,inf,0,1,1,1,0,0,1,0,0,1
73190010,inf,0,1,1,1,0,0,1,0,0,1
74192492,inf,0,1,1,1,0,0,1,0,0,1
75194413,inf,0,1,1,1,0,0,1,0,0,1
76194528,inf,0,1,1,1,0,0,1,0,0,1
77194775,inf,0,1,1,1,0,0,1,0,0,1
78195115,inf,0,1,1,1,0,0,1,0,0,1
79196293,inf,0,1,1,1,0,0,1,0,0,1
80197878,inf,0,1,1,1,0,0,1,0,0,1
81199463,inf,0,1,1,1,0,0,1,0,0,1
82201967,inf,0,1,1,1,0,0,1,0,0,1
83202219,inf,0,1,1,1,0,0,1,0,0,1
84202419,inf,0,1,1,1,0,0,1,0,0,1
85204131,inf,0,1,1,1,0,0,1,0,0,1
86205464,inf,0,1,1,1,0,0,1,0,0,1
87205856,inf,0,1,1,1,0,0,1,0,0,1
88206123,inf,0,1,1,1,0,0,1,0,0,1
89206138,inf,0,1,1,1,0,0,1,0,0,1
90206307,inf,0,1,1,1,0,0,1,0,0,1
91206608,inf,0,1,1,1,0,0,1,0,0,1
92207982,inf,0,1,1,1,0,0,1,0,0,1
93210304,inf,0,1,1,1,0,0,1,0,0,1
94211352,inf,0,1,1,1,0,0,1,0,0,1
95212581,inf,0,1,1,1,0,0,1,0,0,1
96212881,inf,0,1,1,1,0,0,1,0,0,1
97213235,inf,0,1,1,1,0,0,1,0,0,1
98214591,inf,0,1,1,1,0,0,1,0,0,1
99214652,inf,0,1,1,1,0,0,1,0,0,1
100214904,inf,0,1,1,1,0,0,1,0,0,1
101215243,inf,0,1,1,1,0,0,1,0,0,1
102215408,inf,0,1,1,1,0,0,1,0,0,1
103215777,inf,0,1,1,1,0,0,1,0,0,1
104216060,inf,0,1,1,1,0,0,1,0,0,1
105217550,inf,0,1,1,1,0,0,1,0,0,1
106219161,inf,0,1,1,1,0,0,1,0,0,1
107220720,inf,0,1,1,1,0,0,1,0,0,1
108221866,inf,0,1,1,1,0,0,1,0,0,1
109223368,inf,0,1,1,1,0,0,1,0,0,1
110223738,inf,0,1,1,1,0,0,1,0,0,1
111223885,inf,0,1,1,1,0,0,1,0,0,1
112225547,inf,0,1,1,1,0,0,1,0,0,1
113227033,inf,0,1,1,1,0,0,1,0,0,1
114227318,inf,0,1,1,1,0,0,1,0,0,1
115227520,inf,0,1,1,1,0,0,1,0,0,1
116227642,inf,0,1,1,1,0,0,1,0,0,1
117227901,inf,0,1,1,1,0,0,1,0,0,1
118229436,inf,0,1,1,1,0,0,1,0,0,1
119229610,inf,0,1,1,1,0,0,1,0,0,1
120231283,inf,0,1,1,1,0,0,1,0,0,1
121232963,inf,0,1,1,1,0,0,1,0,0,1
122234395,inf,0,1,1,1,0,0,1,0,0,1
123234718,inf,0,1,1,1,0,0,1,0,0,1
124234735,inf,0,1,1,1,0,0,1,0,0,1
125234987,inf,0,1,1,1,0,0,1,0,0,1
126235276,inf,0,1,1,1,0,0,1,0,0,1
127235580,inf,0,1,1,1,0,0,1,0,0,1
128235948,inf,0,1,1,1,0,0,1,0,0,1
129236233,inf,0,1,1,1,0,0,1,0,0,1
130236475,inf,0,1,1,1,0,0,1,0,0,1
131236763,inf,0,1,1,1,0,0,1,0,0,1
132237542,inf,0,1,1,1,0,0,1,0,0,1
133238321,inf,0,1,1,1,0,0,1,0,0,1
134238685,inf,0,1,1,1,0,0,1,0,0,1
135240314,inf,0,1,1,1,0,0,1,0,0,1
136240399,inf,0,1,1,1,0,0,1,0,0,1
137240829,inf,0,1,1,1,0,0,1,0,0,1
138241128,inf,0,1,1,1,0,0,1,0,0,1
139241395,inf,0,1,1,1,0,0,1,0,0,1
140241657,inf,0,1,1,1,0,0,1,0,0,1
141241910,inf,0,1,1,1,0,0,1,0,0,1
142243365,inf,0,1,1,1,0,0,1,0,0,1
