timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
10476149,1628252548400062,11010053,490787508,22544206,93290,139353,0.42400002,0.28874344,2.084,2.5770001,0.95,1.37,94,3,0.97200006,0.69100004,-0.683,0.25500003,5.518826,0,nan,0.0,1326,3,0,1,13
10681437,1628252548600062,11010053,490787510,22544204,93250,139313,0.404,0.2712622,2.0440001,2.528,0.95,1.37,94,3,1.019,0.83400005,-0.587,0.097,5.599123,0,nan,0.0,1326,3,0,1,13
10876131,1628252548800062,11010053,490787521,22544204,93199,139262,0.216,0.19793011,2.006,2.479,0.95,1.37,94,3,1.0320001,0.75600004,-0.702,-0.003,5.556941,0,nan,0.0,1326,3,0,1,13
11078502,1628252549000062,11010053,490787531,22544205,93258,139321,0.20300001,0.28718606,1.978,2.4490001,0.95,1.37,94,3,0.75500005,0.693,-0.29900002,0.033,5.6594973,0,nan,0.0,1326,3,0,1,13
11274401,1628252549200062,11010053,490787526,22544212,93081,139144,0.13100001,0.2206953,1.9330001,2.3820002,0.95,1.37,94,12,0.791,0.52400005,-0.59300005,0.48800004,5.5195184,0,nan,0.0,1170,3,0,1,13
11474432,1628252549400062,11010053,490787539,22544209,93194,139257,0.162,0.24344777,1.9020001,2.3370001,0.85999995,1.2099999,94,12,0.74100006,0.702,-0.238,0.083000004,5.7168503,0,nan,0.0,1170,3,0,1,14
11671186,1628252549600062,11010053,490787539,22544194,93371,139434,0.18900001,0.3540807,1.881,2.301,0.85999995,1.2099999,94,12,0.74500006,0.437,-0.60400003,0.046000004,5.595635,0,nan,0.0,1170,3,0,1,14
11872510,1628252549800062,11010053,490787547,22544172,93345,139408,0.16700001,0.18826133,1.8600001,2.2670002,0.85999995,1.2099999,94,12,1.1580001,0.65500003,-0.95500004,0.26700002,5.3756065,0,nan,0.0,1170,3,0,1,14
12071411,1628252550000062,11010053,490787555,22544142,93525,139588,0.20500001,0.18037523,1.8390001,2.236,0.85999995,1.2099999,94,12,1.434,0.731,-1.2340001,-0.179,5.308626,0,nan,0.0,1170,3,0,1,14
12274424,1628252550200063,11010053,490787567,22544116,93639,139702,0.246,0.22751658,1.8230001,2.219,0.85999995,1.2099999,94,3,1.2080001,0.763,-0.93600005,-0.25300002,5.3425355,0,nan,0.0,1170,3,0,1,14
12477839,1628252550400063,11010053,490787582,22544105,93574,139637,0.20500001,0.27898842,1.8040001,2.2,0.85999995,1.2099999,94,3,0.896,0.70500004,-0.554,0.119,5.452208,0,nan,0.0,1170,3,0,1,14
12677169,1628252550600063,11010053,490787584,22544076,93650,139713,0.18100001,0.3532028,1.784,2.171,0.97999996,1.28,94,3,0.731,0.365,-0.634,0.117000006,5.3689013,0,nan,0.0,1170,3,0,1,13
12878933,1628252550800063,11010053,490787592,22544071,93511,139573,0.14,0.43299332,1.7680001,2.148,0.97999996,1.28,94,3,0.522,0.393,-0.34300002,0.22900002,5.4472184,0,nan,0.0,1170,3,0,1,13
13077060,1628252551000063,11010053,490787598,22544049,93312,139375,0.143,0.22813931,1.7540001,2.127,0.97999996,1.28,94,3,0.93500006,0.32900003,-0.87500006,0.42000002,5.153805,0,nan,0.0,1170,3,0,1,13
13270941,1628252551200063,11010053,490787610,22544015,93335,139398,0.216,0.20453984,1.7440001,2.1090002,0.97999996,1.28,94,3,1.2210001,0.60300004,-1.0610001,0.028,5.1953225,0,nan,0.0,1014,3,0,1,13
13471454,1628252551400063,11010053,490787621,22543988,93419,139482,0.23700002,0.20147435,1.733,2.0900002,0.97999996,1.28,94,3,1.2850001,0.823,-0.98700005,-0.158,5.303175,0,nan,0.0,1014,3,0,1,13
13671786,1628252551600063,11010053,490787635,22543975,93418,139481,0.21200001,0.21057868,1.72,2.0730002,0.97999996,1.28,94,3,1.1650001,0.961,-0.657,0.017,5.4849734,0,nan,0.0,1014,3,0,1,13
13877731,1628252551800063,11010053,490787647,22543948,93510,139573,0.21900001,0.17611541,1.7030001,2.055,0.85999995,1.2099999,94,3,1.1340001,0.85800004,-0.74200004,0.023000002,5.5352173,0,nan,0.0,1014,3,0,1,14
14074489,1628252552000063,11010053,490787659,22543919,93684,139747,0.2,0.18993056,1.6810001,2.033,0.97999996,1.28,94,3,0.90900004,0.71500003,-0.56200004,0.098000005,5.57301,0,nan,0.0,1014,3,0,1,13
14275396,1628252552200063,11010053,490787669,22543886,93789,139852,0.16700001,0.16374975,1.651,2.0,0.97999996,1.28,94,3,1.0020001,0.65400004,-0.75900006,0.512,5.4873805,0,nan,0.0,1014,3,0,1,13
14473399,1628252552400063,11010053,490787681,22543860,93691,139754,0.156,0.18171407,1.618,1.96,0.97999996,1.28,94,3,0.96900004,0.57000005,-0.78300005,0.80100006,5.421943,0,nan,0.0,1014,3,0,1,13
14678102,1628252552600063,11010053,490787683,22543870,93361,139424,0.165,0.21721005,1.5860001,1.922,0.97999996,1.28,94,3,0.75000006,0.42100003,-0.62,0.81200004,5.375326,0,nan,0.0,1014,3,0,1,13
14878003,1628252552800063,11010053,490787681,22543887,93162,139225,0.18300001,0.5747912,1.5480001,1.8740001,0.97999996,1.28,94,3,0.28500003,0.185,-0.216,0.47700003,5.3809743,0,nan,0.0,1014,3,0,1,13
15078078,1628252553000063,11010053,490787674,22543922,92863,138926,0.238,0.5747929,1.5070001,1.825,0.97999996,1.28,94,3,0.033,0.022000002,0.025,0.365,5.3809743,0,nan,0.0,1014,3,0,1,13
15275401,1628252553200063,11010053,490787670,22543940,92799,138862,0.256,0.5747942,1.47,1.7780001,0.97999996,1.28,94,3,0.074,-0.061000004,0.042000003,0.108,5.3809743,0,nan,0.0,1170,3,0,1,13
15474408,1628252553400063,11010053,490787668,22543944,92806,138869,0.245,0.57479537,1.4350001,1.7360001,0.97999996,1.28,94,3,0.034,-0.032,0.012,0.104,5.3809743,0,nan,0.0,1170,3,0,1,13
15672996,1628252553600064,11010053,490787667,22543961,92659,138722,0.23600002,0.57479644,1.4020001,1.6940001,0.97999996,1.28,94,3,0.067,-0.066,0.008,0.081,5.3809743,0,nan,0.0,1170,3,0,1,13
15873406,1628252553800064,11010053,490787670,22543968,92606,138668,0.20700002,0.5747975,1.3900001,1.682,0.97999996,1.28,94,3,0.023000002,0.0,0.023000002,0.013,5.3809743,0,nan,0.0,1170,3,0,1,13
