timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2338802,1200.0,1.0,689.56104,0.0,19,0,41.551743,2,0,0,0,0,0.0,0,0,1,1,1,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3175645,1200.0,1.0,737.62994,0.0,36,0,20.039104,3,0,0,0,0,0.0,0,0,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4047568,1200.0,1.0,737.62994,0.0,52,0,20.039104,7,0,0,0,0,0.0,0,0,1,1,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4475719,1200.0,1.0,726.058,0.0,59,0,106.568184,9,0,0,0,0,0.0,0,0,1,1,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5227809,1200.0,0.9868196,4009.791,53.55645,165,1,141.82541,12,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5459834,1200.0,0.9868196,4009.791,53.55645,199,3,141.82541,13,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6221787,1200.0,0.74996525,3806.1157,539.5987,267,14,20.945604,13,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6381752,1200.0,0.74996525,3806.1157,539.5987,285,14,20.945604,14,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7140015,1200.0,0.74996525,3806.1157,539.5987,335,24,20.945604,15,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7532535,1200.0,0.74996525,2698.2075,420.56473,350,24,41.956577,16,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8296592,1200.0,0.656,1229.7493,0.0,366,24,41.585724,18,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8457349,1200.0,0.656,1229.7493,0.0,411,24,41.585724,19,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9207706,1200.0,0.656,6322.0674,444.33398,537,33,41.7495,19,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9423542,1200.0,0.74996525,6322.0674,444.33398,545,36,41.7495,20,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10177530,1200.0,0.5248,6322.0674,444.33398,589,40,41.7495,21,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10528566,1200.0,0.5248,1966.9982,300.99973,594,40,41.99996,22,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11282962,1200.0,0.72056574,5006.8086,79.98097,734,42,41.99001,23,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11452604,1200.0,0.72056574,5006.8086,79.98097,758,43,41.99001,24,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12213716,1200.0,0.430336,1834.2677,271.41196,771,47,67.60445,26,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12422767,1200.0,0.430336,1834.2677,271.41196,774,47,67.60445,27,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13177409,1200.0,0.72056574,1834.2677,271.41196,924,58,67.60445,28,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13489947,1200.0,0.72056574,5872.385,596.26685,959,61,41.669228,29,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14252564,1200.0,0.35287553,1628.1001,133.84381,974,62,41.951046,30,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14415171,1200.0,0.35287553,1628.1001,133.84381,975,62,41.951046,31,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15168526,1200.0,0.72056574,1628.1001,133.84381,1074,65,41.951046,32,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15414793,1200.0,0.72056574,3919.198,109.36372,1082,65,62.635586,37,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16173686,1200.0,0.72056574,3919.198,109.36372,1106,65,62.635586,43,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16469778,1200.0,0.3800083,1232.8506,0.0,1108,65,169.15625,44,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17218711,1200.0,0.38950852,1232.8506,0.0,1117,65,169.15625,45,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17375915,1200.0,0.38950852,470.53302,0.0,1120,65,41.780945,46,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18133733,1200.0,0.39924622,470.53302,0.0,1129,65,41.780945,47,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18414556,1200.0,0.39924622,731.64526,0.0,1137,65,41.751495,48,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19171658,1200.0,0.40922737,731.64526,0.0,1146,65,41.751495,49,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19461530,1200.0,0.40922737,469.1036,0.0,1149,65,41.654022,50,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20226561,1200.0,0.41945803,469.1036,0.0,1161,65,41.654022,51,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20394594,1200.0,0.41945803,545.05634,0.0,1163,65,41.850758,52,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21147786,1200.0,0.4299445,545.05634,0.0,1185,65,41.850758,54,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21409678,1200.0,0.4299445,1043.0175,0.0,1186,65,67.936005,55,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22166611,1200.0,0.44069308,1043.0175,0.0,1200,65,67.936005,56,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22468666,1200.0,0.44069308,655.05084,0.0,1204,65,41.62199,57,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23227681,1200.0,0.4517104,655.05084,0.0,1225,65,41.62199,58,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23392735,1200.0,0.4517104,1121.5002,0.0,1227,65,41.90659,59,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24148682,1200.0,0.46300316,1121.5002,0.0,1239,65,41.90659,60,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24408519,1200.0,0.46300316,640.5167,0.0,1243,65,41.57914,61,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25174307,1200.0,0.47457823,640.5167,0.0,1266,65,41.57914,62,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25476553,1200.0,0.47457823,1131.8158,0.0,1271,65,41.77176,63,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26230581,1200.0,0.4864427,1131.8158,0.0,1282,65,41.77176,64,0,0,0,0,0.0,0,0,1,1,1,1,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
