timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
3163321,3162353,396809,0.15244573,-0.19495821,0.45613036,3
3184671,3183581,396809,0.15227756,-0.19502191,0.46259794,3
3718353,3717389,396809,0.15537195,-0.1934719,0.45845568,3
3739706,3738610,396809,0.15087037,-0.19429171,0.46020666,3
3760888,3759836,396809,0.15161158,-0.1942795,0.46018565,3
3782515,3781542,396809,0.15308185,-0.19498584,0.46015155,3
3803740,3802774,396809,0.15030068,-0.19278672,0.45455265,3
3825001,3824034,396809,0.15182516,-0.19274642,0.4528937,3
3846263,3845297,396809,0.15336187,-0.19197537,0.4512268,3
3867641,3866640,396809,0.15321472,-0.19203112,0.45688593,3
3889286,3888283,396809,0.15185502,-0.1934612,0.4512848,3
3910543,3909573,396809,0.15248232,-0.19276607,0.45610648,3
3931767,3930795,396809,0.14944218,-0.19356945,0.45862386,3
3953000,3952031,396809,0.15239486,-0.19425139,0.45854774,3
3974237,3973254,396809,0.15006608,-0.19432779,0.462653,3
3995890,3994920,396809,0.15174446,-0.1913248,0.45692,3
4017234,4016146,396809,0.15031289,-0.19205602,0.4545447,3
4038432,4037371,396809,0.15027085,-0.19207194,0.45616156,3
4059663,4058696,396809,0.15395257,-0.1934724,0.4560724,3
4080883,4079919,396809,0.15025865,-0.19280265,0.45616955,3
4102499,4101533,396809,0.15166584,-0.19353287,0.4585608,3
4123719,4122755,396809,0.15024982,-0.1920799,0.45697,3
4144940,4143976,396809,0.15394373,-0.19274963,0.45687288,3
4166302,4165316,396809,0.14944218,-0.19356945,0.45862386,3
4187797,4186818,396809,0.1501237,-0.19212769,0.4618207,3
4209421,4208448,396809,0.15167803,-0.19280216,0.45855284,3
4230663,4229694,396809,0.15098768,-0.19352117,0.45615646,3
4251881,4250914,396809,0.15038139,-0.19420834,0.45052636,3
4273132,4272163,396809,0.15178312,-0.19276235,0.4545106,3
4294469,4293482,396809,0.15178312,-0.19276235,0.4545106,3
4316567,4315570,396809,0.15023762,-0.19281061,0.45697796,3
4337828,4336826,396809,0.15403664,-0.19344054,0.4528386,3
