timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
1125419,4294967295,32,14,22,19,145,1552,3029,2063,1685,1293,1106,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1135421,4294967295,12,1,11,0,146,1586,3012,2064,1671,1262,1100,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1145417,4294967295,33,26,8,19,145,1582,3060,2063,1682,1298,1112,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1155417,4294967295,12,2,28,0,144,1585,2972,2064,1682,1269,1096,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1165417,4294967295,10,17,20,4,146,1596,3042,2065,1682,1280,1115,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1175417,4294967295,12,2,9,16,146,1580,3038,2066,1674,1266,1110,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1185419,4294967295,14,21,11,17,146,1565,3030,2064,1681,1274,1121,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1195417,4294967295,24,0,32,0,146,1559,3026,2066,1681,1280,1108,997,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1205558,4294967295,13,10,26,17,145,1411,3050,2064,1674,1260,1112,997,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1215534,4294967295,29,2,28,0,148,1572,3064,2065,1675,1269,1110,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1225506,4294967295,28,21,27,0,147,1595,3068,2064,1685,1308,1116,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1235522,4294967295,40,14,8,0,144,1608,3046,2062,1682,1271,1121,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1245511,4294967295,12,0,10,0,143,1578,3025,2065,1672,1276,1125,997,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1255417,4294967295,18,0,9,0,143,1577,2975,2063,1681,1284,1110,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1265418,4294967295,16,6,6,0,144,1554,2985,2065,1682,1274,1111,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1275442,4294967295,30,16,6,0,144,1561,3000,2065,1682,1277,1135,997,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1285418,4294967295,47,0,8,0,144,1607,3013,2063,1679,1291,1132,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1295441,4294967295,6,11,6,0,145,1444,3021,2064,1680,1280,1111,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1305420,4294967295,25,5,4,0,145,1563,3022,2064,1678,1263,1128,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1315420,4294967295,13,0,10,0,145,1362,3049,2064,1680,1286,1111,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1325418,4294967295,12,30,6,0,144,1544,3073,2064,1671,1261,1118,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1335423,4294967295,32,11,6,0,145,1508,3075,2062,1684,1296,1119,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1345423,4294967295,14,1,11,2,146,1668,3050,2064,1671,1260,1117,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1355417,4294967295,15,2,6,0,144,1185,3022,2064,1678,1295,1104,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1365419,4294967295,20,4,28,2,144,1583,3047,2063,1684,1274,1114,998,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1375417,4294967295,12,6,7,19,144,1658,3037,2067,1676,1294,1108,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1385419,4294967295,13,0,6,0,144,1530,3033,2064,1680,1258,1124,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1395417,4294967295,10,9,7,0,144,1598,3032,2064,1673,1275,1120,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1405418,4294967295,6,16,6,0,144,1560,3038,2064,1678,1286,1122,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1415417,4294967295,12,5,25,0,147,1590,3064,2064,1680,1273,1124,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1425418,4294967295,12,13,7,0,144,1539,3053,2065,1670,1277,1131,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1435418,4294967295,37,0,5,0,145,1544,3045,2062,1683,1295,1132,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1445442,4294967295,11,10,9,18,145,1386,3041,2065,1675,1270,1125,996,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1455417,4294967295,18,7,25,2,145,1547,3035,2064,1681,1295,1122,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1465417,4294967295,11,10,25,0,145,1584,3040,2062,1680,1272,1134,997,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
1475417,4294967295,13,6,7,17,148,1549,3047,2065,1668,1267,1129,995,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,18
