timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
10252711,1624012473799960,11010053,489209234,23050647,42377,88517,0.37500003,2.9031575,31.946001,46.389004,1.86,2.31,108,7,0.098000005,-0.061000004,-0.07700001,-0.12100001,0.0,0,nan,0.0,1560,3,0,1,7
10423588,1624012473999961,11010053,489209207,23050665,42060,88200,0.351,2.9031577,31.890001,46.353,1.86,2.31,108,7,0.11800001,-0.11800001,-0.004,-0.135,0.0,0,nan,0.0,1560,3,0,1,7
10622427,1624012474199960,11010053,489209202,23050659,42142,88282,0.347,2.9031584,31.849,46.337,1.86,2.31,108,7,0.035,-0.034,0.011000001,-0.149,0.0,0,nan,0.0,1560,3,0,1,7
10825985,1624012474399960,11010053,489209180,23050702,41573,87713,0.41500002,2.9031587,31.807001,46.312004,1.86,2.31,108,7,0.035,0.031000001,-0.017,-0.108,0.0,0,nan,0.0,1560,3,0,1,7
11023419,1624012474599960,11010053,489209164,23050709,41446,87586,0.37600002,2.9031587,31.773,46.288002,1.86,2.31,108,7,0.014,0.010000001,-0.009000001,-0.115,0.0,0,nan,0.0,1560,3,0,1,7
11224719,1624012474799960,11010053,489209169,23050675,41864,88004,0.43400002,2.9031594,31.744001,46.278004,1.86,2.31,108,5,0.112,0.109000005,0.025,-0.08800001,0.0,0,nan,0.0,1482,3,0,1,7
11426424,1624012474999961,11010053,489209174,23050683,41779,87919,0.36600003,2.9031596,31.719002,46.269,1.86,2.31,108,5,0.065000005,0.049000002,0.043,-0.048,0.0,0,nan,0.0,1482,3,0,1,7
11626931,1624012475199961,11010053,489209189,23050678,41688,87828,0.503,0.51202965,31.774002,46.371002,1.86,2.31,108,5,0.75100005,0.66200006,-0.35500002,-0.004,5.805855,0,nan,0.0,1482,3,0,1,7
11827312,1624012475399961,11010053,489209207,23050659,41644,87783,0.58100003,0.44985425,31.778002,46.395,1.86,2.31,108,5,1.0680001,0.87500006,-0.61300004,0.21000001,5.730355,0,nan,0.0,1482,3,0,1,7
12025666,1624012475599961,11010053,489209216,23050639,41521,87661,0.532,0.47358516,31.747002,46.339,1.86,2.31,108,5,0.95100003,0.614,-0.725,0.19900002,5.5807586,0,nan,0.0,1482,3,0,1,7
12239065,1624012475799961,11010053,489209225,23050613,41882,88022,0.53900003,0.47358844,31.884,46.568,1.86,2.31,100,4,0.514,0.51100004,-0.047000002,0.2,5.5807586,0,nan,0.0,1482,3,0,1,7
