timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
535839940,1627049516199871,11010053,490787432,22543427,99922,145985,0.201,0.46670905,1.159,1.4860001,0.81,0.91999996,88,3,0.017,-0.013,0.011000001,0.001,0.4881654,0,nan,0.0,1326,3,0,1,15
536044507,1627049516399871,11010053,490787430,22543427,99877,145939,0.23900001,0.46671045,1.1570001,1.4820001,0.81,0.91999996,88,3,0.017,0.013,0.011000001,-0.022000002,0.4881654,0,nan,0.0,1326,3,0,1,15
536244251,1627049516599871,11010053,490787430,22543425,99872,145935,0.23,0.46671185,1.1550001,1.4770001,0.81,0.91999996,88,1,0.008,0.007,0.004,-0.026,0.4881654,0,nan,0.0,702,3,0,1,15
536440436,1627049516799871,11010053,490787430,22543423,99852,145915,0.22200002,0.46671307,1.1520001,1.4720001,0.81,0.91999996,88,1,0.025,-0.002,-0.025,0.003,0.4881654,0,nan,0.0,702,3,0,1,15
536637440,1627049516999872,11010053,490787430,22543421,99845,145907,0.165,0.4667141,1.1500001,1.468,0.81,0.91999996,88,1,0.015000001,-0.012,0.008,-0.006,0.4881654,0,nan,0.0,702,3,0,1,15
536838564,1627049517199871,11010053,490787430,22543418,99851,145914,0.22700001,0.46671534,1.1470001,1.463,0.81,0.91999996,88,1,0.042000003,-0.010000001,-0.041,-0.051000003,0.4881654,0,nan,0.0,702,3,0,1,15
537036486,1627049517399871,11010053,490787430,22543415,99838,145901,0.19000001,0.46671656,1.144,1.4580001,0.81,0.91999996,88,1,0.068,0.007,-0.067,-0.016,0.4881654,0,nan,0.0,702,3,0,1,15
537236459,1627049517599871,11010053,490787431,22543415,99815,145878,0.24900001,0.46671796,1.143,1.4540001,0.81,0.91999996,89,2,0.048,0.043,0.019000001,-0.001,0.4881654,0,nan,0.0,1014,3,0,1,15
537439431,1627049517799871,11010053,490787432,22543412,99829,145892,0.21300001,0.46671918,1.138,1.4480001,0.81,0.91999996,89,2,0.056,0.054,-0.011000001,-0.036000002,0.4881654,0,nan,0.0,1014,3,0,1,15
537637719,1627049517999872,11010053,490787432,22543410,99846,145909,0.171,0.46672022,1.133,1.4430001,0.81,0.91999996,89,2,0.059000004,-0.058000002,0.012,-0.018000001,0.4881654,0,nan,0.0,1014,3,0,1,15
537835916,1627049518199871,11010053,490787432,22543407,99846,145908,0.22600001,0.46672162,1.128,1.437,0.81,0.91999996,89,2,0.091000006,-0.074,-0.052,0.019000001,0.4881654,0,nan,0.0,1014,3,0,1,15
538035628,1627049518399872,11010053,490787434,22543406,99853,145916,0.21200001,0.46672285,1.1240001,1.432,0.81,0.91999996,89,2,0.0050000004,0.004,-0.002,-0.008,0.4881654,0,nan,0.0,1014,3,0,1,15
538241434,1627049518599872,11010053,490787434,22543406,99845,145908,0.21800001,0.46672404,1.1190001,1.4280001,0.81,0.91999996,94,5,0.047000002,-0.046000004,-0.007,0.004,0.4881654,0,nan,0.0,1482,3,0,1,15
538438535,1627049518799872,11010053,490787438,22543409,99862,145924,0.23700002,0.46672547,1.115,1.424,0.72999996,0.82,94,5,0.18200001,0.113000005,0.143,-0.011000001,0.4881654,0,nan,0.0,1482,3,0,1,16
