time, x, y, z
0.02,-0.646227,1.24,14.6
0.12,-0.646227,1.24,14.6
0.22,-0.646227,1.24,14.6
0.32,-0.646227,1.24,14.6
0.42,-0.646227,1.24,14.6
0.52,-0.646227,1.24,14.6
0.62,-0.646227,1.24,14.6
0.72,-0.646227,1.24,14.6
0.82,-0.646227,1.24,14.6
0.92,-0.646227,1.24,14.6
1.02,-0.646227,1.24,14.6
1.12,-0.646227,1.24,14.6
1.22,-0.646227,1.24,14.6
1.32,-0.646227,1.24,14.6
1.42,-0.646227,1.24,14.6
1.52,-0.646227,1.24,14.6
1.62,-0.646227,1.24,14.6
1.72,-0.646227,1.24,14.6
1.82,-0.646227,1.24,14.6
1.92,-0.646227,1.24,14.6
2.02,-0.646227,1.24,14.6
2.12,-0.646227,1.24,14.6
2.22,-0.646227,1.24,14.6
2.32,-0.646227,1.24,14.6
2.42,-0.646227,1.24,14.6
2.52,-0.646227,1.24,14.6
2.62,-0.646227,1.24,14.6
2.72,-0.646227,1.24,14.6
2.82,-0.646227,1.24,14.6
2.92,-0.646227,1.24,14.6
3.02,-0.646227,1.24,14.6
3.12,-0.646227,1.24,14.6
3.22,-0.646227,1.24,14.6
3.32,-0.646227,1.24,14.6
3.42,-0.646227,1.24,14.6
3.52,-0.646227,1.24,14.6
3.62,-0.646227,1.24,14.6
3.72,-0.646227,1.24,14.6
3.82,-0.646227,1.24,14.6
3.92,-0.646227,1.24,14.6
4.02,-0.646227,1.24,14.6
4.12,-0.646227,1.24,14.6
4.22,-0.646227,1.24,14.6
4.32,-0.646227,1.24,14.6
4.42,-0.646227,1.24,14.6
4.52,-0.646227,1.24,14.6
4.62,-0.646227,1.24,14.6
4.72,-0.646227,1.24,14.6
4.82,-0.646227,1.24,14.6
4.92,-0.646227,1.24,14.6
5.02,-0.646227,1.24,14.6
5.12,-0.646227,1.24,14.6
5.22,-0.646227,1.24,14.6
5.32,-0.646227,1.24,14.6
5.42,-0.646227,1.24,14.6
5.52,-0.646227,1.24,14.6
5.62,-0.646227,1.24,14.6
5.72,-0.646227,1.24,14.6
5.82,-0.646227,1.24,14.6
5.92,-0.646227,1.24,14.6
6.02,-0.646227,1.24,14.6
6.12,-0.646227,1.24,14.6
6.22,-0.646227,1.24,14.6
6.32,-0.646227,1.24,14.6
6.42,-0.646227,1.24,14.6
