time, x, y, z
0.32,-1.015158,0.08548364,0.0471029
0.42,-1.01514,0.08548203,0.047109
0.52,-1.015141,0.08548477,0.0471038
0.62,-1.015124,0.08545575,0.047101
0.72,-1.015141,0.08547708,0.0470962
0.82,-1.015125,0.08548364,0.047101
0.92,-1.015126,0.08546862,0.0470972
1.02,-1.015125,0.08546475,0.047101
1.12,-1.015143,0.0854719,0.0470938
1.22,-1.015135,0.08545837,0.0470924
1.32,-1.015139,0.08548155,0.0471072
1.42,-1.01513,0.08547488,0.0470938
1.52,-1.015133,0.08548406,0.0470924
1.62,-1.015135,0.08548769,0.0470886
1.72,-1.015134,0.08549562,0.0470905
1.82,-1.015126,0.08549115,0.0471019
1.92,-1.01512,0.08547226,0.0470967
2.02,-1.015138,0.08549759,0.0471048
2.12,-1.015115,0.08549103,0.0470957
2.22,-1.015124,0.0855023,0.047095
2.32,-1.015121,0.08547983,0.047095
2.42,-1.015127,0.08548597,0.0471024
2.52,-1.015129,0.08549508,0.0470948
2.62,-1.015128,0.08548024,0.0471091
2.72,-1.015136,0.08547804,0.0470910
2.82,-1.015122,0.08548328,0.0470886
2.92,-1.015135,0.08550981,0.0470886
3.02,-1.015115,0.08548447,0.0470976
3.12,-1.015126,0.08549914,0.0470895
3.22,-1.015116,0.08548489,0.0470962
3.32,-1.015141,0.08549348,0.0470962
3.42,-1.015131,0.0855079,0.0470972
3.52,-1.015134,0.08549139,0.0470914
3.62,-1.015146,0.08549842,0.0471081
3.72,-1.015138,0.08548173,0.0470914
3.82,-1.015148,0.0855014,0.0471010
3.92,-1.015135,0.08547851,0.0470933
4.02,-1.015135,0.0854893,0.0470924
4.12,-1.015126,0.08547106,0.0470995
4.22,-1.01515,0.08549252,0.0470933
4.32,-1.015149,0.08550045,0.0470886
4.42,-1.015136,0.08549663,0.047101
4.52,-1.015141,0.08550629,0.0471019
4.62,-1.015116,0.08548942,0.0470962
4.72,-1.015148,0.08549944,0.0470967
4.82,-1.01514,0.08548799,0.0471038
4.92,-1.015139,0.08551028,0.0471010
5.02,-1.015137,0.08549312,0.047095
5.12,-1.015162,0.08549199,0.0471010
5.22,-1.015147,0.0854893,0.0470919
5.32,-1.015144,0.08548751,0.0471048
5.42,-1.015156,0.08548066,0.0471019
5.52,-1.015146,0.08550653,0.0470933
5.62,-1.015152,0.08548078,0.0470995
5.72,-1.015142,0.08551022,0.0470938
5.82,-1.015157,0.08551297,0.0470924
5.92,-1.015144,0.08551165,0.0470924
6.02,-1.015151,0.08552632,0.047095
6.12,-1.015152,0.08551148,0.0470948
6.22,-1.015153,0.08551279,0.0471010
6.32,-1.015157,0.0855101,0.0470895
6.42,-1.015149,0.0855343,0.0470957
6.52,-1.015151,0.08552274,0.0470981
6.62,-1.015145,0.08552876,0.0470957
6.72,-1.015136,0.08550563,0.0471010
6.82,-1.015156,0.08553216,0.0470924
6.92,-1.015155,0.08552697,0.0470910
7.02,-1.015153,0.08550909,0.0470919
7.12,-1.015146,0.08548751,0.0470838
7.22,-1.015162,0.08552918,0.0470871
7.32,-1.015143,0.08549735,0.0471010
7.42,-1.015143,0.08551744,0.0470938
7.52,-1.015158,0.08551046,0.0470933
7.62,-1.015151,0.08550206,0.0470981
7.72,-1.015154,0.08551607,0.0470876
7.82,-1.015152,0.08552155,0.0471019
7.92,-1.015162,0.08551499,0.0470981
8.02,-1.015136,0.08550242,0.0471000
8.12,-1.015171,0.08552489,0.0471010
8.22,-1.015156,0.08552715,0.0471048
8.32,-1.015147,0.08552644,0.0470938
8.42,-1.015149,0.08551976,0.0470895
8.52,-1.01516,0.08552954,0.0470881
8.62,-1.01515,0.08552489,0.0470967
8.72,-1.01516,0.0855318,0.0470929
8.82,-1.015147,0.08551398,0.0470910
